expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,1,Alex Berman®,alexanderberman,2026-06-26,14h,https://www.linkedin.com/posts/alexanderberman_the-free-cash-flow-figure-you-walked-your-activity-7476116275623026688-MtCH,https://www.linkedin.com/feed/update/urn:li:share:7476116274570231809,3,4,0,1021,image,True,False,negotiation/closing,7476116275623026688,"The free cash flow figure you walked your board through last quarter likely overstates reality by close to a fifth. Snowflake illustrates the pattern. Its equity grants ran at over 40% of revenue for years - shareholders paid employees in dilution while watching ""adjusted"" profit figures that excluded the cost entirely. One company in software never had this problem: Constellation Software. Their equity grant total is zero. Instead of issuing shares, Constellation pays cash bonuses with a requirement that executives reinvest 75% of that bonus into open-market stock purchases, locked for years. Alignment without dilution. The reported profit closely tracks the cash flow because there are no equity grants to subtract. The operators who paper over this with buybacks are running a treadmill. When companies stopped issuing, the business underneath turned out to be healthier than the adjusted numbers suggested. The ones who kept issuing are still explaining to their boards why free cash flow never quite arrives.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,2,Alex Berman®,alexanderberman,2026-06-25,1d,https://www.linkedin.com/posts/alexanderberman_tether-pays-its-users-zero-percent-interest-activity-7475761313655488513-614K,https://www.linkedin.com/feed/update/urn:li:share:7475761312430456833,6,5,0,1171,image,True,False,general sales/content,7475761313655488513,"Tether pays its users zero percent interest and uses that free money to out-lend Germany to the US Treasury. Tether, a private company with no public shareholders, now holds more US government debt than Germany, Australia, or South Korea. This is a treasury market story. The mechanism is the oldest one in finance: hold someone else's money, invest the float in short-term assets, keep the spread. PayPal built a business on it. Berkshire built an empire on it with insurance premiums. Tether industrialized it: issue a digital token tied to the dollar, pay holders zero interest, park the reserves in Treasury bills. Repeat until you are a top-20 holder of US government debt, up there with whole countries. The Guiding and Establishing National Innovation for US Stablecoins Act, signed into law last year, locked this in permanently. It requires every stablecoin issuer to hold 100% liquid reserves and publish monthly disclosures. The market has already been told where it must go. China has been reducing its Treasury holdings for years. A decade-old float business now operates at the scale of a country with a legal mandate to keep buying. This is infrastructure.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,3,Alex Berman®,alexanderberman,2026-06-24,2d,https://www.linkedin.com/posts/alexanderberman_meta-is-launching-a-prediction-markets-app-activity-7475396149835886592-Ls-U,https://www.linkedin.com/feed/update/urn:li:share:7475396147977785344,9,11,0,1187,image,True,False,general sales/content,7475396149835886592,"Meta is launching a prediction markets app with no real money, no license, and no ad slots, and DraftKings still dropped on the news. Meta already built a prediction markets app. It was called Forecast. They shut it down after it went nowhere. Now Zuckerberg has directed a small team to build a new one, internally called Arena. It launches with points instead of real money, walled off from Facebook and Instagram - but described by insiders as experimental and a top priority. This time the market reacted, with DraftKings down about 2 percent. The sector that ignored Meta's first attempt just repriced on the second one. What changed? The sharpest parallel here is DraftKings. When it folded prediction markets into its existing app after first launching them as a brand-new standalone product, the cost of getting each new customer dropped more than 80 percent in a single month. Distribution was the moat. Meta is making the same bet with a larger audience and no licensed trading plumbing underneath it. Points systems buy time, but the rules for US prediction markets are still being written - and a company Meta's size entering the space accelerates that process, for everyone.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,4,Alex Berman®,alexanderberman,2026-06-23,3d,https://www.linkedin.com/posts/alexanderberman_if-you-run-a-business-with-one-cash-machine-activity-7475181121090125826-jKP8,https://www.linkedin.com/feed/update/urn:li:share:7475181119269666819,7,8,0,975,image,True,False,AI/sales tech,7475181121090125826,"If you run a business with one cash machine and three cash furnaces, the structure you pick this year decides your valuation for the next ten. Starlink is a high-margin business sitting inside SpaceX, which is carrying money-losing segments, including an AI unit that is burning cash. The SpaceX initial public offering came down to that tension. The question is whether Starlink can fund the moonshots without hiding the costs. Alphabet faced this exact problem in 2015. Search was minting money while self-driving cars and life-extension research were burning it. The fix was structural: ring-fence the profitable core with its own transparent margin, put every loss-making bet in a separate segment with its own profit and loss, and let analysts run the numbers without squinting. The move forced internal discipline on the moonshots. Conglomerates that break out their segments get valued as portfolios. The ones that lump them together get valued as their worst segment.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,5,Alex Berman®,alexanderberman,2026-06-22,4d,https://www.linkedin.com/posts/alexanderberman_ubers-engineers-burned-a-full-year-of-ai-activity-7474675986278686720-QWp-,https://www.linkedin.com/feed/update/urn:li:share:7474675983250370560,10,9,0,1512,image,True,False,AI/sales tech; leadership/career; negotiation/closing,7474675986278686720,"Uber's engineers burned a full year of AI budget in four months, and the fix they landed on is not what most operators expect. Microsoft just published something small but meaningful alongside the Code 1 Flash launch: average solution tokens per task, not just success rates. Their model solves harder coding problems using up to 60% fewer tokens than Claude Haiku 4.5. That's a new column on a model release sheet, and it will become standard. Uber's chief technology officer said the company burned through its entire annual AI budget in four months, after leadership encouraged maximum usage and ran internal leaderboards for it. Bloomberg reported they've since capped spending at $1,500 a month per engineer, per tool. Uber's example shows the value of measuring cost per finished task. The companies that handled this first built one policy before costs exploded: cheap by default, expensive on purpose. Cursor does this automatically: routine edits get a lighter model, complex multi-file work gets a heavier one. The documented savings across different workloads run from a third to most of the credits used. The teams that skipped that step had to bolt on controls after the budget call. That's a harder conversation and a slower fix. The era of burning top-tier AI on every query is over. The operators who price AI by results (cost per closed ticket, per merged pull request, per resolved issue) will run a structurally different profit and loss than the ones still measuring by headcount or by spend.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,6,Alex Berman®,alexanderberman,2026-06-21,5d,https://www.linkedin.com/posts/alexanderberman_a-client-came-to-me-with-what-should-have-activity-7474472455755968512-Hq3k,https://www.linkedin.com/feed/update/urn:li:share:7473742414717820929,9,5,0,2349,text,False,False,cold email; referrals; sales training,7474472455755968512,"A client came to me with what should have been an EASY campaign... 20% cost savings guaranteed. The issue? It sucks and nobody cares. Here's how to take a boring offer and turn it into something prospects feel like they have to fix right now: 1. Find out why it's important The answer was buried in Email 4 of his sequence. That email mentioned how his company used AI to lower costs. So I followed the logic: * If AI is making his storage costs lower, it's probably making everyone's lower * If cloud storage is getting cheaper, the prospect is paying too much * This is enough to make them feel cheated The REAL big idea was: ""Cloud storage is cheaper because of AI, so if you're still paying 2021 rates, you're getting ripped off."" Now, it's not about saving money - it's about being taken advantage of. 2. Twist the knife FOMO isn't about fake scarcity - it's about showing that others are already taking advantage while the reader is falling behind ""Your competitors have already renegotiated. While they're using their savings to scale new campaigns, you're stuck paying outdated rates."" 3. Write a full sequence Each email should introduce a new layer of urgency: Email 1: AI has lowered costs - if your prices haven't dropped, you're being ripped off Email 2: Vendors won't tell you this because they make money from keeping you in the dark Email 3: Your competitors have already adjusted pricing Email 4: Cloud storage pricing creeps up over time Email 5: Case study - real example of a company that saved thousands Email 6: Last chance - every month you wait, you lose more budget 4. Cut anything that sounds like a repeat Replace ""Hidden cloud storage fees add up"" with ""Your cloud provider won't tell you this - so I will."" Now you create FOMO and distrust instead of repeating yourself. 5. Stop Trusting ChatGPT If you ask AI to ""write 6 emails on why I should pay 20% less"" it would do it. If you then say ""write 6 emails on why I should pay 20% MORE"" it would also do it. AI doesn't validate the idea - it just makes it sound convincing. Inside Galadon Gold, we don't just fix messaging - we turn your entire sales process into a system that generates leads and closes deals. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 9 days from now. Join now. Talk soon, Alex",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,7,Alex Berman®,alexanderberman,2026-06-18,1w,https://www.linkedin.com/posts/alexanderberman_i-gained-1240-linkedin-followers-in-2-weeks-activity-7473370738951905282-I6he,https://www.linkedin.com/feed/update/urn:li:share:7473370737362223104,10,5,0,2148,text,False,False,cold email; LinkedIn/social selling; sales training,7473370738951905282,"I gained 1,240 LinkedIn followers in 2 weeks (and woke up my dying account) When I first decided to crack this, I went through the sales process of one of these ""LinkedIn legends"" All the advice boiled down to basic principles: Nail your hooks, tell genuine stories, and use giveaways to drive engagement. Literally I went through 2 hours of this guys content (at 3x speed) and didn't hear a SINGLE new thing Instead of hiring him, I took the advice and started doing it myself Here's how to grow on LinkedIn in 2026: 1. Pretend You Have No Followers When you act like you're starting from scratch, you push yourself to make every word and every idea count Unfortunately your followers mean nothing 2. Spend a Lot More Time Writing My average post now takes 3 HOURS from beginning to end I start with raw ideas captured in a voice note and then spend time writing, editing, and rewriting line by line. I wrote 3 hooks for the post you're reading: - ""Here's how I grow on LinkedIn"" - ""Why you're not stuck in LinkedIn jail and how to break free"" - ""I Gained 1,240 LinkedIn Followers in 2 Weeks (and Woke Up My Dying Account)"" The important thing is to try and NOT go with your first instinct without trying more 3. Giveaways Are Key I pull my best-performing content from my X account or YouTube channel and reframe it as a giveaway. My ""GPT Cold Email Secrets"" giveaway received 93 comments in 24 hours, and every single commenter ended up following me. If a post gets fewer than 10 comments within the first 30 minutes, I delete it and pivot. This is the fastest way to grow, but isn't the best to get new clients... For that, you need a FUNNEL: giveaway -> email list -> ""buy from me"" pitch Because of the funnel, around 80% of those followers joined our email list. In just two weeks, we gained 1,000 net new email subscribers and received 120 net new applications for Galadon Gold Want to do the same? Galadon Gold gives you the exact LinkedIn growth framework that got these results. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 12 days from now. Join now. Talk soon, Alex",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,8,Alex Berman®,alexanderberman,2026-06-17,1w,https://www.linkedin.com/posts/alexanderberman_my-accountant-asked-me-to-categorize-some-activity-7473001463040983041-M6sJ,https://www.linkedin.com/feed/update/urn:li:share:7473001460666875905,12,5,0,1691,text,False,False,cold email; LinkedIn/social selling; sales training,7473001463040983041,"My accountant asked me to categorize some transactions. Instead of just doing it, I ignored it for days. Didn't even want to open the Google Sheet. When I finally did? It was 10 transactions. Took under a minute. I lost DAYS over this. Here's how to stop procrastinating: 1. Make a To-Do List (yes, really) Every single task you need to complete, written down. If something feels too big, break it down. Instead of ""launch a landing page,"" you write: * Write the copy * Pick a template * Film the video * Edit the video When the steps are small the work feels possible and necessary. 2. Delete Everything That Doesn't Matter When I see my task list written out If I'm like ""Idk I dont want to do that"" I just delete it. Old me thought it was a good idea? Well where is he now? 3. Do The Work If it takes 12 hours, fine. If you get tired, take a 30-minute nap and get back to it. Sleep, wake up, and do it again I guarantee this won't take more than 3 days - even if your tasks seem impossible You're not stuck because you don't know what to do. You already know. The problem is, you're not doing it. That's why Galadon Gold isn't just coaching - it's built-in execution time. You join the LinkedIn call? You're working on LinkedIn while the coach is breaking it down. Cold email coaching? You're refining your campaigns while the coach is sharing what's working right now. It's like an interactive motivational podcast that you join four times a week - except instead of just listening, you're actually working. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 13 days from now. Join now. (Then go grab a coffee and start executing.) Talk soon, Alex",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,9,Alex Berman®,alexanderberman,2026-06-16,1w,https://www.linkedin.com/posts/alexanderberman_i-made-100-cold-calls-to-prove-its-not-luck-activity-7472666444854525952-cV7O,https://www.linkedin.com/feed/update/urn:li:share:7472666444158226433,7,5,0,1979,text,False,False,cold email; cold calling; LinkedIn/social selling,7472666444854525952,"I made 100 cold calls to prove it's not luck: I was selling an AI-powered live chat that helps businesses respond instantly and capture more leads... Here was my opener: ""Hey [name], it's Alex. I just messaged your live chat four minutes ago, and I'm still waiting on a response. If I were a customer, I would've left by now."" No small talk. No fake enthusiasm. So I made the first call... A Director of Customer Support picked up. His response: ""I don't appreciate you questioning my decisions or trying to scare me with talk of burning money."" He hung up. Call two. ""Not interested."" He hung up. Call three. I over-explained, and the prospect shut me down. I thought my opener was solid, but something was off... So on call four, I adjusted: ""Hey [name], it's Alex. I just messaged your live chat a few minutes ago, and I'm still waiting on a response. If I were a customer, I'd probably be gone by now. Have you ever considered using AI to speed this up?"" Same structure. Same concept. Less confrontational. And suddenly, the reaction changed. His response: ""Yeah, we've thought about it, but we don't want to replace our team."" Now we had a conversation. I framed AI as a tool to help his team, not replace them... We booked a 30-minute demo. After that, each call got better and better. If you can just put in the reps - you don't need more than an opener to make solid calls. And once I was done... I had a script that I could train new reps on or hire outsourced callers to book meetings at scale. This is exactly what we refine inside Galadon Gold. We don't just hand you scripts - we help you tweak them, test them, and optimize them based on real-world results. 4 coaching calls a week. Cold calling, cold email, LinkedIn outreach, high-ticket sales. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 14 days from now. Join now. Talk soon, Alex P.S. One of our members is booking 3-5 meetings per day with his cold calling team.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,10,Alex Berman®,alexanderberman,2026-06-15,1w,https://www.linkedin.com/posts/alexanderberman_weve-booked-over-500000-meetings-across-activity-7472265350219411457-hSLi,https://www.linkedin.com/feed/update/urn:li:share:7472265348721819649,9,5,0,2186,text,False,False,cold email; sales training; discovery/qualification,7472265350219411457,"We've booked over 500,000 meetings across 14,000 clients And some cold email campaigns absolutely crush it with 14%, 15%, even 25% meeting book rates. Others? Struggle to break 2%. Same tools. Same sending setup. Same structure. Same consultants. So what's happening? 1. Sell a new and needed offer A video production agency needed more work and couldn't crack cold email... That's how I found a group of 14 buyers willing to spend $50K each on a documentary - from just 41 emails. A ghostwriting agency was offering a $30K-$50K ghostwriting package. Every guest on their partner's podcast had paid $30K-$50K for ghostwriting. I scraped the guest list and sent 41 emails. ""I love your book - do you want to make a documentary about it?"" - 14 people responded - 14 people booked meetings - Every single one showed up - EVERY SINGLE ONE was interested in a $50,000 documentary $700,000. From just 41 emails. 2. Breaking news A web development agency member closed $100,000 in deals from FOUR emails... Magento announced they were ending support for Magento 1. Security updates stopping. Payment processors moving on. No more tech support. And they HAD to pay for a whole new site. ""We built your website last year. Since Magento is officially ending support, your current system is now at risk. Want to chat?"" Four emails. $100K closed. The difference was, this was the moment their clients had to act and we framed it the right way. 3. Get famous Before I launched my own agency, I was a junior sales guy for a web dev firm in NYC. We went all in on visibility - ranked #1 on the biggest directory, went viral for major keywords, got on the radar of every influencer in the space. Later, I used that as a case study to sell lead generation. That campaign alone brought in $600,000 in annual recurring revenue in the first 30 days. Competitors don't just want a service - they want to know HOW you're beating them. If you need help figuring out what that moment is for your business, we can help you find it inside Galadon Gold. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 15 days from now. Join now. Talk soon, Alex",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,11,Alex Berman®,alexanderberman,2026-06-14,1w,https://www.linkedin.com/posts/alexanderberman_cold-email-is-not-about-subject-lines-activity-7471916873882730499-lnO4,https://www.linkedin.com/feed/update/urn:li:share:7471209985847357440,6,5,0,1832,text,False,False,cold email; LinkedIn/social selling; sales training,7471916873882730499,"Cold email is NOT about: * Subject lines * Cute wording * Copy pasting the perfect script You're tweaking subject lines, trying to find the perfect ""turn of phrase"" (lol) But I've tested this across millions of emails. and subject lines BARELY matter. It comes down to two things: 1. Fix your targeting One client came to me frustrated, reaching out to sales teams with 5-20 SDRs... But no one was replying. The problem wasn't the email. It was the list... He was filtering by COMPANY SIZE and not department size So a company with 3,000 sales people got the same email as a company with 30 We changed his linkedin sales navigator settings... And responses poured in immediately. He didn't change his email. Didn't change his offer. Just sent to the right people. You need to know who you're emailing: * Are they still employed? * Is their email verified? * Is their job title right? 2. Fix your deliverability This isn't 2019 where you can send 30 emails a day from Google Workspace and expect messages to get through... Modern cold email requires proper email infrastructure. Here's how to do it right: * Use dedicated email-sending systems, not Gmail or Outlook (that means Custom SMTP) * Distribute sending across multiple domains * Keep volume low per inbox (2 emails per day only) The goal isn't to ""churn and burn"" It's to deliver high-quality, targeted emails at scale without triggering the automated filters. If you want me to take a look at your setup, tell you exactly what's wrong, and show you how to fix it - join Galadon Gold. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 16 days from now. Join now. Talk soon, Alex P.S. I've helped over 14,000 founders, agencies, and B2B teams fix their cold email and scale to millions in revenue. Are you in?",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,12,Alex Berman®,alexanderberman,2026-06-13,1w,https://www.linkedin.com/posts/alexanderberman_stop-playing-with-clay-and-start-sending-activity-7471565799623733249-kWgG,https://www.linkedin.com/feed/update/urn:li:share:7471209365665046528,9,4,0,1935,text,False,False,cold email; sales training; pipeline/building demand,7471565799623733249,"Stop playing with Clay and start sending cold emails. I know you think it's the dream... A tool that customizes emails with AI?! And I'm not some Clay hater - I scaled my clay setup to OVER 400,000 emails a month I know the personalization to use... The AI I built writes emails better than any virtual assistants I could hire.... But the thing is... If I copy pasted this into your business... IT WOULDN'T WORK Why? Because Clay is NOT a research tool. It is a scaling tool. One of my favorite personalizations is complimenting the view from a prospect's office (as seen from google maps) Are you going to find that strategy in somebody's clay course? Hell no. Does it work? Yes... CEOs spent weeks of their life picking the perfect office space And while doing this research I started looking at their offices and seeing the pattern... Almost everyone in this niche posted a picture to google maps of their view... So I called it out and conversions went up. That's just one example - that I found by writing 20 cold emails manually Do you want to figure out what relevant data points will hit with your niche? Get off of the Claygents... and instead write 30 cold emails right now Go to google, look at your prospects, and use it in your manual emails If you do this for two hours straight I GUARANTEE you will find data points that are more relevant than any guru So, before you spend another MINUTE trying to create a Clay Table that produces good email copy... Write 50 emails yourself by hand. Now. And if you need help (either with the email scripting, the clay setup... or you just want to spend a full 45 minutes sending emails together) Galadon Gold is here. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 17 days from now. Join now. Talk soon, Alex P.S. Deon sent 93 emails and booked 12 calls... without a clay setup. Are you ready to uncomplicate this?",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,13,Alex Berman®,alexanderberman,2026-06-12,2w,https://www.linkedin.com/posts/alexanderberman_someone-has-to-say-this-right-now-there-activity-7471208362664411136-o1ZQ,https://www.linkedin.com/feed/update/urn:li:share:7471208361703866373,4,1,0,2050,text,False,False,cold email; LinkedIn/social selling; sales training,7471208362664411136,"Someone has to say this: Right now, there are people in your network - past clients, old coworkers, friends in your industry - who could pay you today. They know you. They trust you. If you reached out, some of them would say yes. You tell yourself: * If they needed my help, they would've reached out. * They probably already have someone for that. * It would be weird to message them out of nowhere. So instead, you do nothing... You tweak your website. Scroll LinkedIn. Rework your cold email script one more time. Anything but picking up the phone. And that feeling - the one you try to ignore - doesn't go away. Those whispers from the universe don't come often... And they DON'T like being ignored. Do this today: * Make a list of 50 people you've worked with before * And call them That's it. Your brain does not like that. It starts looking for an escape. * They're probably busy - I'll do it later * I should send a DM first to warm them up * I need to think this through more I've put off calls for weeks before. Sat there, thumb hovering over the dial button, making up reasons not to do it. So yeah, I get it. But here's exactly what to say: ""Hey [Name], it's [Your Name] - we worked together at [Company/Project]. Just wanted to check in - how's everything going?"" Then stop. Let them talk. After a few minutes, say: ""By the way, do you guys need any help with [your service]?"" That's it. No pitch. No fancy strategy. Just a direct ask. This is the moment. You can let the fear win.... Or press call. We do this every day inside Galadon Gold. People inside have: * Booked $10K+ months just by following the system * Landed clients in under 24 hours * Built repeatable, scalable deal flow 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 18 days from now. When you're ready to stop running and start winning, join now. Talk soon, Alex PS: A Galadon Gold member landed a client ten hours after getting this script. From struggling to pay rent to ramen profitable in a day.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
Alex Berman,https://www.linkedin.com/in/alexanderberman,15,14,Alex Berman®,alexanderberman,2026-06-11,2w,https://www.linkedin.com/posts/alexanderberman_most-people-say-cold-email-is-dead-that-activity-7470847230057365505-shPD,https://www.linkedin.com/feed/update/urn:li:share:7470847227591114752,11,6,0,2318,text,False,False,cold email; LinkedIn/social selling; sales training,7470847230057365505,"Most people say cold email is dead. That it doesn't work. That nobody responds. And then I get questions like this: ""I have been trying cold emails for almost one month now and have no results! How long did it take you to get your first client?"" Which is the wrong question... I got my first client from cold email within my first 20 emails. But that's because I was selling something I knew people would buy... I knew exactly what pain points to hit, what case studies to mention, and what phrasing got people interested. How did I know all of this? I spent two months pitching in person at networking events. San Francisco, New York City, even overseas in Thailand. At first? Nobody bought. But after pitching it over and over again, I started to notice patterns: If I said ""I do marketing for small businesses"" they'd nod and move on. But when I said ""I did marketing for Tyson Chicken"" they'd lean in. ""You mean the chicken nugget company?"" They'd laugh. After they finished chuckling, they'd start qualifying themselves... And that's how I figured out what worked. So by the time I started sending cold emails, I already knew exactly what to say. 1. Test your offer in person Talk to as many people as possible. Hit them with your one-sentence pitch. Your pitch should make people pause, be something you're confident saying, and not be a lie. 2. Get real feedback Once you start talking to people, you'll notice patterns. Some words make people's ears perk up. Some words kill the conversation instantly. I went to a conference and ended with 40 meetings on my calendar. Forty. 3. Use those words in your cold emails (and EVERYWHERE ELSE) In your cold emails. On your website. In your LinkedIn posts. If you skip this step you'll send 200,000 cold emails over the next year, get no responses, and waste an entire year not knowing why nothing is working. All because you skipped one day of testing your pitch in person. Inside Galadon Gold, you're not figuring this out alone. You'll work with coaches who have built, scaled, and sold real businesses using cold email. 4 coaching calls a week. Courses. Private community. Cancel anytime. The price goes up by $100 on June 30th. That's 19 days from now. Join now. Talk soon, Alex P.S. The last member that tried this strategy booked 25 meetings... in a SINGLE DAY.",CMO · Demand Gen & Growth Marketing Leader · $9M/Quarter Pipeline Built · 5 SaaS Exits · Bestselling Author · AI-Driven GTM
