expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,1,Armand Farrokh,armand-farrokh,2026-06-25,1d,https://www.linkedin.com/posts/armand-farrokh_prospect-says-will-you-hold-the-price-till-activity-7475964057230143488-mHRl,https://www.linkedin.com/feed/update/urn:li:share:7475964056382697472,45,11,1,1091,text,False,False,pipeline/building demand; events/keynotes; negotiation/closing,7475964057230143488,"Prospect says ""will you hold the price till next month?"" 3 words. ""I don't know"" Because the reality is, you don't. When a deal slips, you have to make a judgment call: 🅰️ Did they make a good faith effort to get it done? 🅱️ Or did you get the runaround? There are times where your champion did everything and some black swan event truly came up. In those cases, I'll close it on the 2nd, preserve goodwill so I can get expansion later, avoid the whole nonsense of re-issuing a PO. (and either way you weren't gonna ratchet it all the way back up) But if we have mutually agreed on making a good faith effort to close it by EOQ and it was NOT a mutual good faith effort. That may lead to reconsideration. ... In sales, holding equal business stature means that you get something in return when you give something up. In negotiation, you trade certainty for certainty. Or uncertainty for uncertainty. (PS: I was kinda fumbling on this until we interviewed Todd Caponi, who just dropped his negotiation course with 30MPC. It personally has helped our team a lot and I hope it helps y'all too.)",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,2,Armand Farrokh,armand-farrokh,2026-06-22,4d,https://www.linkedin.com/posts/armand-farrokh_sales-people-get-a-bad-rap-because-theres-activity-7474850995311648771-o0t8,https://www.linkedin.com/feed/update/urn:li:share:7474850993512542208,79,20,0,2347,image,True,False,referrals; pipeline/building demand; negotiation/closing,7474850995311648771,"Sales people get a bad rap because there's frankly a lot of draconian advice that tells you to manipulate your prospects. Things like: - Never share price until your customer thinks it's more - Anchor high so they feel like they got a win - Don't give price until they introduce you to the boss - Hide your product until they answer 700 interrogation questions A big part of the reason we started 30 Minutes to President's Club is because good selling doesn't feel like selling. It feels like helping. But negotiation was one of the few places where I thought that might not be true. Because the reality is: - You are often incentivized to hide price - Procurement *will* want their pound of flesh - Your next rent payment *might* be contingent on that 20% In these moments, we as salespeople are put to the test. Do I protect my wallet or protect my integrity? -- I thought all of this was true for negotiation until I met Todd Caponi. He told a story about how he put 4 levers on the table that customers could use to buy themselves a discount, then cut their own deal: 1. Volume: How much you buy 2. Timing of Cash: How fast you pay 3. Length of Commitment: How long you commit 4. Timing of Deal: How you help us predict We rolled it out to our team and it was ridiculous. When prospects realized that these were the levers they could pull and all the negotiation cards were on the table, they stopped the 17-call negotiations and just decided on what options were best for them. Shortly after, I asked Todd to launch a negotiation course with us. I'm grateful he chose to partner with us because he's one of the few people who really just wants to make the profession of sales better. And that course is available today. -- Not everyone does sales right. The moment you jump on a call, you are not only battling the natural resistance of change. But you are battling the natural resistance of eroded trust from 20 other sellers who have been taught to walk the gray lines of sales tactics. I hope this one helps sellers realize that: - You can discount less - Close deals faster - AND preserve your integrity too. Four Levers Negotiating is live today at 30MPC. I would love to hear what y'all think because I freaking love this one. (And it's on discount this week because we are willing to pay for our ability to predict launch week sales 😉)",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,3,Armand Farrokh,armand-farrokh,2026-06-16,1w,https://www.linkedin.com/posts/armand-farrokh_this-is-my-go-to-negotiation-question-that-activity-7472700037303541760-aD_U,https://www.linkedin.com/feed/update/urn:li:share:7472700036775112704,63,17,4,570,text,False,False,negotiation/closing,7472700037303541760,"This is my go-to negotiation question that has saved my goose when talking to procurement. ""We can consider many things. I'm curious, where's the ask coming from? 2 things happen when you ask it: 1. You figure out who's asking for the sake of asking. 2. You reveal hidden objections BEHIND a pricing objection (ie: an ankle biting competitor who has no business being in the same deal) Understand the objection before you handle it. (PS: Todd Caponi broke down how to handle literally every single pricing objection you can get on our YT channel, check it out in my bio)",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,4,Armand Farrokh,armand-farrokh,2026-06-10,2w,https://www.linkedin.com/posts/armand-farrokh_wanna-book-more-meetings-on-linkedin-dont-activity-7470495116378554370-wCB3,https://www.linkedin.com/feed/update/urn:li:share:7470495115782893568,86,17,4,749,text,False,False,cold email; LinkedIn/social selling,7470495116378554370,"Wanna book more meetings on LinkedIn? Don't connect and pitch. Try this 2-step template: === Step 1: Blank connection request === Any pitch in the connection request will get auto deleted. If you wanna personalize it, go context only. Example: ""i'd see those wrestler's ears any day"" === Step 2: Use a personalization sandwich and drive back to email === ""John! Not sure if you knew, but you team's full of 30MPC super fans. Not gonna do the whole connect and pitch thing. See my email by chance?"" (PS: Heard you brought a magician to SKO. Can you pull a meeting out of your hat?) === Bonus tips === 1. Send the PS as a separate DM (that's what pops up in the inbox preview) 2. Lead with business-personalization, end with humanizing personalization",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,5,Armand Farrokh,armand-farrokh,2026-06-09,2w,https://www.linkedin.com/posts/armand-farrokh_theres-only-one-meeting-in-which-you-can-activity-7470142126417276928-RGxQ,https://www.linkedin.com/feed/update/urn:li:share:7470142124697681920,40,24,2,1567,image,True,False,negotiation/closing,7470142126417276928,"There's only one meeting in which you can lose 20% of your commission check in 30 minutes. That is the negotiation. The 5 biggest negotiation mistakes people make are: 1️⃣ Filling the silence after giving the number Instead: explain how price works up front, give the number, and then ask for their reaction. 2️⃣ Pitching when they say the price is too high Instead: Understand why they felt the price was high. They're often just saying it to say it. 3️⃣ Giving away discounts for free Any discount should give you something in return. More seats, longer term, or secured timeline. 4️⃣ Then billing terms, split payments, and waived implementation This begins death by a million cuts. You need to get the full ask and force trade-offs between price and terms. 5️⃣ Trying to lie or anchor high If you want a certain way to lose your entire check, it's because they found out you quoted them above list to pad the quote. === Instead, we've started putting all of our negotiation cards on the table up front and letting customers cut their own deal. There are 4 levers that determine our price (per the slide): 1. How much you buy 2. How fast you pay 3. How long you commit 4. How you help us forecast If a customer wants a discount, they can get it. We just tell them exactly what we would ask for in return (more seats, longer commitment, close now). This has moved anxiety in the negotiation process to 0 for us. And I didn't come up with this. Todd Caponi did. His negotiation masterclass is 100% free. Just say ""negotiation machine"" below and I'll send it to ya :)",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,6,Armand Farrokh,armand-farrokh,2026-06-08,2w,https://www.linkedin.com/posts/armand-farrokh_when-you-have-no-pipeline-in-sales-you-activity-7469800677146529792-WZdE,https://www.linkedin.com/feed/update/urn:li:share:7469800676072689664,69,13,3,848,image,True,False,referrals; pipeline/building demand; negotiation/closing,7469800677146529792,"When you have no pipeline in sales: - You second guess yourself on calls where the prospect was the problem - You cling onto deals that were never going to close anyway - You avoid introducing friction into deals (ie: asking for power) - You ask your champion for permission to do everything - You discount more When you have a full pipeline: - You ask customers if they're actually going to buy this thing - You push bad deals away and let them opt back into the sales cycle - You start selling with swagger and having fun - You stop overthinking every single thing you say on a call - You know if you can't get to power you'll find a deal that will Yes, there are things you should fix in your sales process. But you will be amazed how much more clearly you will see deals for what they are when you have 20 of them. It's Monday. Go get one more.",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,7,Armand Farrokh,armand-farrokh,2026-06-02,3w,https://www.linkedin.com/posts/armand-farrokh_video-prospecting-can-book-a-ton-of-meetings-activity-7467602181211197441-gstO,https://www.linkedin.com/feed/update/urn:li:share:7465464208726433792,80,13,0,142,image,True,False,pipeline/building demand,7467602181211197441,Video prospecting can book a ton of meetings. But not like this. Instead: 1. Smile 2. THEN turn on the camera otherwise you might get reported,Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,8,Armand Farrokh,armand-farrokh,2026-06-01,3w,https://www.linkedin.com/posts/armand-farrokh_we-made-a-huge-change-to-our-pricing-last-activity-7467243687857618945-Pifp,https://www.linkedin.com/feed/update/urn:li:share:7467243685982814209,116,17,6,2058,image,True,False,discovery/qualification; negotiation/closing,7467243687857618945,"We made a huge change to our pricing last month. Now we discount less, close deals faster (and do it all without the sleazy feeling of lying in a negotiation). There are 4 levers that determine our price: - Volume: How much you buy - Length of Commitment: How long you commit - Timing of Cash: How fast you pay - Timing of Deal: How you help us predict We put % amounts to each of these things and then let our customers cut their own deal. (Example: If you want a discount, commit to more volume or help us predict by agreeing on a timeline.) And it's crazy. Customers are just kinda like: ""Uhm. This makes sense. Let us figure out what we want to do."" So most of our negotiations end in 1-2 calls. -- It turns out traditional negotiation: - SLOWS DOWN DEALS: Because a customer will wait until the last day of the month if they know your discounts are contingent on your quota. - LOSES DEALS: Because if they find out they got quoted more than their peers, you risk the deal entirely. - SHRINKS DEALS: Because a savvy buyer picks you apart the moment they realize your pricing is fungible. - FEELS SLEAZY: Because you're punishing the champion who put their political capital on the line to get you in the budget by trying to close it at full rack. I used to do all the traditional sales tactics of anchoring high, playing chicken, etc. After I met Todd Caponi, our team does ""cards face up"" 4 Levers Pricing and it's truly changed the game for us. In sales it's really easy to do things the wrong way. And sometimes, ""gurus"" in our industry preach it and get paid for it. Todd's one of the few dudes who really just wants to make the profession of sales better. And it turns out that you can do that AND become a better seller at the same time. -- Today, you can teach your team to do the same. The 4 Levers Negotiating course is live: https://hubs.li/Q04jrPw-0 You'll learn how to be a world class negotiator while ALSO doing it the right way. I really, really hope y'all take a look bc I had so much fun in this shoot with a good friend and a good dude.",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,9,Armand Farrokh,armand-farrokh,2026-05-29,4w,https://www.linkedin.com/posts/armand-farrokh_live-whiteboarding-the-org-chart-has-completely-activity-7466183177544400896-9Ozr,https://www.linkedin.com/feed/update/urn:li:share:7466183176466628608,36,8,7,1486,image,True,False,sales training; discovery/qualification,7466183177544400896,"Live whiteboarding the org chart has completely changed the multithreading game for us in deals. Here's how to do it in 3 steps. For Context: We need to get the 3-headed hydra onboard whenever we're selling a training engagement: - The Enablement Lead to champion the program - 1-2 Sales Leaders to vouch that it'll land with reps - And then the VP/CRO (who always tips if the others are aligned) 1️⃣ Get the champion into same side selling mode. This usually happens after the discovery + demo, where they're like ""ya I want this"" I literally say, ""this is where you and I get to conquer the world together. Will u be my friend 🥹"" This makes them feel like they're part of the process. 2️⃣ Draw the ""golden path"" to get a deal done. Map out the key stakeholders that you need to tip the sale. For us, we literally find the 3-headed trifecta and screenshot their names / faces / titles. This lets you teach them how to buy and avoid random multithreading to irrelevant or below-the-line stakeholders. 3️⃣ Ask them to help you understand the shadow org chart You see the external org chart. But there's a POLITICAL org chart that they know. This is where we get to ask: ""Who's the sales leader who has your VP's ear?"" We know if we tip THAT person, the VP/CRO will tip too. -- No one likes to hear ""who's going to sign off on this?"" as if you're gonna steamroll over them to get in front of their boss. Turn your champion into a 2nd sales rep on your team. That is same side selling 101.",Author x Founder at 30 Minutes to President's Club | VP of Sales
Armand Farrokh,https://www.linkedin.com/in/armand-farrokh,15,10,Armand Farrokh,armand-farrokh,2026-05-27,4w,https://www.linkedin.com/posts/armand-farrokh_sales-life-hack-listening-to-my-teams-gong-activity-7465454378418855938-kPnQ,https://www.linkedin.com/feed/update/urn:li:share:7465454377366061056,150,19,0,239,image,True,False,general sales/content,7465454378418855938,Sales life hack: listening to my team’s gong calls on 2x speed while walking through NYC. Benefits: - Let’s you cover 2x as many calls - Makes listening to calls much more enjoyable - Good for vitamin D Only drawback: just stepped on a rat,Author x Founder at 30 Minutes to President's Club | VP of Sales
