expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,1,Becc Holland,beccholland-flipthescript,2026-06-26,3h,https://www.linkedin.com/posts/beccholland-flipthescript_i-grew-up-in-texas-so-im-not-exactly-a-activity-7476315335940493312-Vsuj,https://www.linkedin.com/feed/update/urn:li:share:7476315334585548801,18,29,0,879,image,True,False,general sales/content,7476315335940493312,"I grew up in Texas…. So I’m not exactly a stranger, to heat. 🥵 But 100+ Texas heat, WITH AC…. & 100+ Paris heat, WITHOUT AC…. …. are SO not the same thing. 😩 I’m being a baby— I’ll be fine. 🥵🥺 But just wanted to say to everyone that called & checked in on me, that: 1️⃣ I’m alive. 2️⃣ Oui…. I’m still wildly in love with France, & no (Mom) I didn’t buy a Southwest plane ticket back to the US. 3️⃣ don’t take ice cube makers, for granted. 4️⃣ who knew….. that shampoo can melt?? 5️⃣y’all were super sweet to check on me.🙂 And 6️⃣,, I was supposed to post like 3 things this week…. But basically my keys, have melted into my computer. So I’d normally say—> you’ll have to wait until next week, for my “hot takes”…. But considering 3 of my candles legitimately melted over, without being lit…. it’s just too soon for the jokes. 🥵🙂 Bon weekend à tous!! Et à la semaine prochaine. :)",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,2,Becc Holland,beccholland-flipthescript,2026-06-03,3w,https://www.linkedin.com/posts/beccholland-flipthescript_so-shoutout-to-outreach-for-throwing-such-activity-7467999997511245824-ayWB,https://www.linkedin.com/feed/update/urn:li:ugcPost:7467999944100978689,100,39,3,732,text,False,False,general sales/content,7467999997511245824,"so, shoutout to Outreach for throwing SUCH a good party… that even me + Lori Richardson actually danced at it. 🙂 I like how Lori stops to talk about to me about work in the middle…. And then keeps dancing. 🙃 Believe it or not, that was our first time actually boogy-ing on the dance floor at conference….. ever. I’m not saying it was a good thing, but I am saying it was a first. :) More on the conference tomorrow, but Unleash 2026 has been absolutely killer. Great lineup. Great insights. Nadia Rashid absolutely slayed the keynote. good people, and great conversations, all around. more tomorrow (whether yall like it or not 🫠), but for now, I’ll just say…. Unleash was a vibbbe this year. & that’s all I got to say about that. 🙂",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,3,Becc Holland,beccholland-flipthescript,2026-05-29,4w,https://www.linkedin.com/posts/beccholland-flipthescript_well-they-say-a-picture-is-worth-1000-words-activity-7466203867748405249-PpEW,https://www.linkedin.com/feed/update/urn:li:share:7466203866624323584,78,16,2,716,image,True,False,discovery/qualification,7466203867748405249,"Well…. They say a picture is worth 1000 words. so for brevity’s sake (& because it’s Friday), let’s hope so. 🙂 Come & hang out with me + the wonderful team at Outreach, next week… in the sunny Scottsdale Arizona. I’ll be speaking on June 2nd at 11:30 on **drumroll please** The 13 Questions (NOBODY is asking) in Discovery…. That 4X Conversion. It’s one of my favorite topics. & with one of my FAVORITE teams. (if you can’t already tell :)) So all that to say, I hope you’ll come out & join us! Other than that: Hope y’all have a great weekend, & are up to something fun over the weekend. & see y’all in Scottsdale on the other side. PS. Ping me if you’re coming to Unleash next week, with your plans, s’il vous p. 🙂",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,4,Becc Holland,beccholland-flipthescript,2026-05-14,1mo,https://www.linkedin.com/posts/beccholland-flipthescript_ok-yall-heres-5-cold-email-tips-to-activity-7460687975421689857-vNpQ,https://www.linkedin.com/feed/update/urn:li:share:7460687974201131009,35,20,7,2238,image,True,False,cold email; personalization; prospecting,7460687975421689857,"…….ok y’all: here’s 5 cold email tips, to close out la semaine. :) 1️⃣ More pattern interruptive punctuation (& a few acronyms), the better. 2️⃣ 5 emails to a “sequence”, over 21 business days. 3️⃣ Add a piece of written content (article, blog etc.) in email #2. & a piece of audio/video content (webinar, podcast etc.) in email #5. 4️⃣ Make sure the content is 3rd party. (Not written by you) & that focuses on solving a problem, for their specific buyer persona. 5️⃣ Pattern interrupt in the subject line. AKA look at the subject line & ask yourself, if you were the recipient…. On a scale of 1 to 10, how much would YOU be able to tell that it’s a “sales email”. If it’s over an 8, then I’d re-write it. An evergreen pattern-interruptive subject line, is to include a couple words of TRUE personalization. EX. …. you said “endless options”, Ben. The key ISN’T that you spend hours of time on the personalization— OR pick irrelevant personalization. But the key (or one of them), is that you’re SPECIFIC. That you’re saying something that they would KNOW from looking at it, that it was written to just them. One of the most common mistakes, is confusing being “pattern interruptive”, with being silly. And cracking a bunch of jokes. And the pattern they’re trying to interrupt is “being too stuffy”, or talking corporate. The pattern that I would target, ISN’T “being too serious”……. The pattern that I would target, is that the norm, statistically, is that the seller doesn’t know anything about the buyer. It’s a mass blast. Trying to cast a WIDE net. Without actually knowing anything about the prospect, they’re sending the email too. That’s what’s normal. That’s the “pattern”. So to interrupt it, you say 2-3 words in the subject line…. That are written & truly personalized, to just them. And proves to them in real time that you’ve invested in them, by doing your research. It doesn’t earn you the meeting. But it DOES earn you the right to a few more lines, to prove relevance, & find an unknown for them, that’s truly valuable. 6️⃣ I’d avoid the words in the list below…. Because they are the top-hits, of words that can cause an email deliverability problem. OK that’s it! See y’all tomorrow— Or as some would say, remain. 🙂",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,5,Becc Holland,beccholland-flipthescript,2026-05-13,1mo,https://www.linkedin.com/posts/beccholland-flipthescript_5-changes-that-i-made-to-my-cold-emails-activity-7460313099628359680-1a38,https://www.linkedin.com/feed/update/urn:li:share:7460313098286034945,36,21,1,2885,image,True,False,cold email; personalization; prospecting,7460313099628359680,"…..5 changes that I made to my cold emails, that resulted in booking 35 SQLs consistently a month, on outbound. 🙂 1️⃣ Fewer mentions of your company name, the better. If you HAVE to do it, I’d do it in the 2nd to last line of the email. 2️⃣ No same subject lines. 3️⃣ No more than 50 emails, per day. 4️⃣ Ask a question— without adjectives or adverbs, that’s anchored to their buyer persona metrics. EX. I wouldn’t use terms like—-> High, low, fast, slow, good, bad, ineffective. A buyer can’t answer a question with adjectives, & it communicates you’re not after finding an unknown problem. If I say: “do you have bad cold emails”, “do you have low open rates”, or “is your lead routing process ineffective?”…. They can’t really answer that question. What is a bad email? What is a low open rate? What is ineffective? Best case scenario, they’ll answer yo the best of their ability…. But that gives you THEIR definition of low. So you can’t use it to diagnose. FOR EXAMPLE: If I know that <50% open rate, means they have a email deliverability problem… And I ask “do you have a low open rate?” And they say no…. (or yes) I still don’t know don’t know their open rate, so I still don’t know if they have the problem. Generally those questions are used to get the buyer to “admit” they have a problem— & they know it’s a trap, so they shut down. But the WORST part, is if you’re asking “are you struggling with low open rates?” If they can say yes, it’s because they already know it. But if their open rate was bad enough, based on what they know, to do something about…. They would already have done something about it. But you’re going outbound. Which means based on what they know, it’s not bad enough to warrant action. Or it’s a fringe problem at best. But to cause a new initiative… I have to find a new problem that they weren’t aware of before— Which I can’t do, or can’t find, by asking a question with adjectives, or adverbs. So instead of asking “do you have low open rates?” I can ask: ▪️ is your open rate below 50%? OR ▪️ what is your open rate? Reason I ask is industry average is 15% - 25%, & anything below 50% means that there’s an email deliverability problem. Only 59% of cold emails on average are delivered to the primary inbox— Which means 41% of emails aren’t even reaching the prospect, & is typically a bigger driver to not hitting SQL quota…. Over email quality. 5️⃣ use TRUE personalization, in the first line of the cold email. Not name, title, or company vertical…. But something that could only have been written to them. I put the personalization buckets below. They’re ranked in order of response rate— Left to right, for the buckets. & top to bottom, for the list underneath. OK that’s it. 🙂 Peace be to journey, y’all. & good luck to all my cold emailers out there— It’s one of the hardest jobs (IMO), that you can do. So I promise, it gets easier. :)",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,6,Becc Holland,beccholland-flipthescript,2026-05-12,1mo,https://www.linkedin.com/posts/beccholland-flipthescript_heres-5-cold-email-tips-that-i-live-by-activity-7459964347650371584-jeo7,https://www.linkedin.com/feed/update/urn:li:share:7459964346710777856,38,38,0,513,image,True,False,cold email,7459964347650371584,"Here’s 5 Cold Email tips, that I live by..…. ▪️ Fewer links, the better. 1 MAX. ▪️ 4 - 5 lines TOPS. ▪️ Don’t combo two sentences, into one paragraph. ▪️ There has to be at least one piece of (unique) value, to each email. Such as….. ——> asking a question about something, that they didn’t likely know. ——> dropping a statistic, that they likely didn’t know. ——> including a pc. of 3rd party content. ▪️ And I’d try to avoid the death-trap firey, volcano words below, at all cost. OK, that’s it. 🙂 toodles, y’all.",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,7,Becc Holland,beccholland-flipthescript,2026-05-07,1mo,https://www.linkedin.com/posts/beccholland-flipthescript_meant-to-say-this-last-week-but-got-sick-activity-7458210351193509888-1NuS,https://www.linkedin.com/feed/update/urn:li:share:7458210349251518464,79,36,1,2895,image,True,False,cold email; discovery/qualification,7458210351193509888,"Meant to say this last week, but got sick— I’m still REELING from The Sales Decade Project. Where essentially 50 of the most elite female sellers, who sold in the 80s, all got together in one room. So we could honor them, and meet them— But most importantly, so we could learn from them. Learn how they did what they did, & how they were able to make such big strides. And that room…. That day, was just electric. But for days, I couldn’t figure out why. Why it didn’t feel like a normal conference, or get together. Why the air felt so different. So I started to look for a through line. I knew about 10 honorees beforehand— And had the chance to interview about 20 of them. And even though each person & story was different, They were all… ▪️ incredibly sharp. well learned. ▪️accountable for their outcomes, not effort. ▪️ deeply technical. knew their buyer. ▪️& somehow, after all this time, they still had a deep love for sales. The reason it was different, wasn’t because it was year 1. It wasn’t because the banners had flashy colors, or because of cool swag giveaways. It was different… because they all had a love for sales, & not self. And had the same goal—> Make the field & craft of sales better tomorrow, than it is today. Learning from the past, isn’t just about learning from mistakes. It’s also about learning what’s already been done. So you don’t solve the same problem twice. & if I took away nothing else from these women— It was that learning, true learning, is a team sport. and real progress is made, only as a group. Even with ALL of their experience, when someone was presenting, the other women, weren’t in the back of the room. They weren’t on calls. Or checking email. They were in the front row… Taking notes, full attention on the speaker. After decades of experience… They didn’t have the mindset that there was nothing left to learn. They were front & center, pen & paper out, taking notes… Even after all this time. They weren’t worried about if anyone “stole their ideas”. if anything, they were worried if they DIDN’T. They all had the mindset, that great ideas are only helpful, when they’re shared. And they don’t travel very far, or have much impact.. If they’re only known by one. & that’s when it hit me. That was the difference. That’s not only what they knew— But what they embodied. They were rooting for one another, & learning from one another… And always thinking global, not local. ANY RATE, just wanted to say thank you to all of the honorees— for their time, & sharing their stories with me. And of course a massive, evergreen thank you to Lori Richardson— For including me: In your event, in your life, & for being my mentor, truly, since day 1. And Dr. Howard Dover for hosting at the UTD campus. That’s it. My heart’s officially full. pic from “after hours”, post event— Because Lori is a 24/7 powerhouse. it’s all about: We, not me, y’all. 🙂",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,8,Becc Holland,beccholland-flipthescript,2026-04-22,2mo,https://www.linkedin.com/posts/beccholland-flipthescript_well-folks-were-60-min-away-the-activity-7452842127266430976-Oj5t,https://www.linkedin.com/feed/update/urn:li:share:7452842126230466560,34,6,1,1346,text,False,False,general sales/content,7452842127266430976,"….Well folks, we’re 60 min. away. 🙂 The Sales Decades Project, by the wonderful Lori Richardson kicks off tomorrow AM…. Where the greatest sellers, of the 70s & 80s, will deliver their keys to the kingdom, of how they were so successful in sales…. Over multiple decades. That’s decades, with a D. 👀 Not quick tips…. Or tactics that fade. What it truly takes, all of the traits that they embodied, advice, & what they learned while selling in the 1980s, all the way to today…. Boiled down into 15 minutes. But tonight, it’s time to honor these incredible women. All of their accomplishments, & contributions to the field— And where we are today, because of what they did yesterday & beyond, At a dinner at UTD, hosted by Dr. Howard Dover. And since it’s to honor sellers, that sold starting in the 80s….. The theme, naturally, for tonight’s wardrobe is the 80s. 🙂 So the million $$ question is….. What’s the fit? What’s everyone’s look?? ….anyone want to wager a guess, on my angle? 🙂 See everyone tonight— Lots of pics to be taken. :) And thanks again to the incredible Lori Richardson, for putting this altogether. PS. Carole Mahoney I’m prettty sure that I know yours, but I promise I won’t spill the beans. 🤐🙂 Alice Heiman Carole Mahoney 💡 Hang Black Colleen Stanley, CEO Jill Konrath Sheevaun Thatcher, CPC Mark Hunter David Brock Todd Caponi",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,9,Becc Holland,beccholland-flipthescript,2026-04-16,2mo,https://www.linkedin.com/posts/beccholland-flipthescript_in-sales-if-youre-struggling-to-know-or-activity-7450586001103618049-ElLM,https://www.linkedin.com/feed/update/urn:li:ugcPost:7450585963204067328,37,12,0,1377,text,False,False,discovery/qualification,7450586001103618049,"In sales, if you’re struggling to know (or find) what “problem you solve” for your buyer…. The fastest way to understand a buyer, is to understand their number. & the fastest way to understand the problems they want to solve, is to find the things, that affect that number. Your buyers don’t solve problems in a vacuum. They’re trying to solve problems, in relation to the main metric that defines whether they’re winning or losing, in their role. This is Also Known As their lagging indicator metric, and it’s their final number. The one they’re measured against. And the one they’re ultimately hired, fired, promoted, or demoted to drive. And THAT’s how they define a “problem”, Is something that they need to change, that is currently affecting….. Or will affect that lagging metric in the future enough, to make it worth solving now. That’s how they determine what to prioritize. That’s how they define pain…. Is the volume they’re lacking, according to that metric. That’s how they define impact…. Is what’s happening because of the delta according to that metric. In short The driving business problem that they’re looking to solve for, ALWAYS ties back to the metric that person is accountable to…. Day in, & day out. And if TRUE discovery happens, strong discovery happens, or true value is added— That’s where it all starts.🙂 And that’s where it’s waiting to be found.",CEO @ Flip the Script
Becc Holland,https://www.linkedin.com/in/beccholland-flipthescript,15,10,Becc Holland,beccholland-flipthescript,2026-04-14,2mo,https://www.linkedin.com/posts/beccholland-flipthescript_i-had-so-much-fun-at-utd-last-week-that-activity-7449888295595024385-WnOU,https://www.linkedin.com/feed/update/urn:li:share:7449888294466916352,81,17,0,679,image,True,False,general sales/content,7449888295595024385,"I had so much fun at UTD last week…. That I just HAD to come back today, for Part 2. 🙂 Massive thank you to Semiramis (Semira) Amirpour for everything— & having me in her Advanced Sales class this AM. The students were firing off answers so quickly, it made me excited to see where they take the field…. How they grow it. And what they turn what it means to be a seller into, over the next 20 years. Pic below of us, after class— Me grinning like a dummy from ear to ear, because of who I’m standing next to. That’s it! :) Hope everyone’s having a great week. And that something this week, made you fall in love with our field all over again— Because what’s NOT to love, right? 🙂",CEO @ Flip the Script
