expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,1,Collin Stewart,collinstewart,2026-06-25,1d,https://www.linkedin.com/posts/collinstewart_ai-customeronboarding-saas-activity-7475973783112089600-JOU_,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475973650672787457,3,1,0,369,text,False,False,AI/sales tech,7475973783112089600,"In this episode, Arvind Ramasamy and I explore the journey of voice #AI entrepreneurs, focusing on #CustomerOnboarding, handling pricing conversations, and the evolution of pricing models in a competitive landscape. If you're building an AI product or service, or are curious about #SaaS pricing strategies, this is your guide to turning interest into paying customers.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,2,Collin Stewart,collinstewart,2026-06-24,2d,https://www.linkedin.com/posts/collinstewart_outboundemails-startup-coldemail-activity-7475540767323668480-4p_4,https://www.linkedin.com/feed/update/urn:li:ugcPost:7474650800074567680,3,1,1,838,text,False,False,cold email,7475540767323668480,"I haven't seen your campaigns, but I'd bet some of those #OutboundEmails are super bloated because you're trying to sell before you've earned a reply. The email I’m using right now to book #startup interviews is almost embarrassingly simple... Subject line: “Interview request.” Then: “Hey {{first_name}}, can I interview you? I’m starting a company around {{problem/category}}, and I’d love your advice.” That’s it. - No fake compliment. - No overbuilt personalization. - No seven-line value prop pretending to be casual. Just a small, clear ask that feels like it came from a human instead of a sequence. If I'm feeling frisky, I’ll add a P.S., which sometimes helps, sometimes hurts. It depends on whom you’re emailing. But the principle holds: if your #ColdEmail needs three paragraphs to justify the ask, the ask is probably too big.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,3,Collin Stewart,collinstewart,2026-06-23,3d,https://www.linkedin.com/posts/collinstewart_teachtosell-salesadvice-activity-7475185897689235456-cDNv,https://www.linkedin.com/feed/update/urn:li:share:7474908379849740288,9,2,1,609,image,True,False,negotiation/closing,7475185897689235456,"Most people hear “teach to sell” and assume it’s just a nicer way to pitch, but after having Dan on the show, I can assure you it’s not. The best sellers know you can't pressure people into buying... You can only help people understand the problem clearly enough for the next step to become obvious. That’s why I’m excited for Dan Rochon’s book, #TeachToSell, launching today! It’s a much-needed push against the lazy version of #SalesAdvice: close harder, follow up more, overcome objections, force urgency. Real sales is cleaner than that. You have to teach well, build trust, and let the right people move.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,4,Collin Stewart,collinstewart,2026-06-22,4d,https://www.linkedin.com/posts/collinstewart_early-revenue-can-make-you-feel-like-a-genius-activity-7474827303559278592-IqOY,https://www.linkedin.com/feed/update/urn:li:ugcPost:7474615719909920768,3,2,1,713,text,False,False,pipeline/building demand; negotiation/closing,7474827303559278592,"Early revenue can make you feel like a genius, until the bill comes due. I went from zero to seven figures in ARR in one quarter. On paper, it looked like rocket fuel, but in reality, we moved faster than our product, our team, and our customers could handle. We created expectations we couldn’t consistently meet. And once trust starts leaking, pipeline doesn’t save you. Looking back, the smarter move would’ve been slower: 1. Stay closer to the service work. 2. Keep learning from customers. 3. Build the product with more discipline. 4. Earn the right to scale. Fast growth is great, unless it teaches the market not to believe you. Catch my full appearance on Aggaeus's podcast HERE: https://lnkd.in/dpWZHCmd",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,5,Collin Stewart,collinstewart,2026-06-19,6d,https://www.linkedin.com/posts/collinstewart_predictablerevenuepodcast-activity-7473837915622719488-KWTc,https://www.linkedin.com/feed/update/urn:li:ugcPost:7473837733052936192,5,1,0,289,text,False,False,AI/sales tech,7473837915622719488,"In this episode of the #PredictableRevenuePodcast, I interview Gidi Cohen from Bonfy.AI... founder to founder. He shares insights into validating AI-driven data security technologies, their go-to-market strategies, and how they have adapted their messaging in a fast-evolving AI landscape.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,6,Collin Stewart,collinstewart,2026-06-17,1w,https://www.linkedin.com/posts/collinstewart_customeracquisition-activity-7473049590808674304-4Lkq,https://www.linkedin.com/feed/update/urn:li:share:7473049588975906817,4,2,0,715,text,False,False,general sales/content,7473049590808674304,"A lot of founders want the clean version of #CustomerAcquisition. Bad news: There is NOT one. The real version is rough: - You ask questions that feel too obvious. - You pitch too early and learn why it didn't work. - You get polite compliments that go nowhere. - You chase the wrong segment for too long. - You realize the thing people praise is not the thing they'll buy. That's what I mean when I say finding customers is terrifying, it's not that sales is scary. It's just that the market tells you the truth faster than almost anything else. You can ignore these signals all you want, but the company's bank account will feel it. My advice: your goal should be to build a process that turns fear into learning.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,7,Collin Stewart,collinstewart,2026-06-17,1w,https://www.linkedin.com/posts/collinstewart_a-relationship-first-campaign-feels-slow-activity-7472830247382642688-ANnS,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472830246900199424,2,1,0,547,text,False,False,discovery/qualification,7472830247382642688,"A relationship-first campaign feels slow until you understand not everyone is ready to buy right now. - Some people are future buyers. - Some are future partners. - Some are future referrers. - Some are just smart people worth knowing. If every touchpoint asks for a meeting, you burn trust with the 95% who are not ready. Sometimes the better play is: - Share something useful. - Ask a real question. - Feature someone's thinking. - Follow up without pretending it's urgent. - Stay visible until timing changes. That's compound interest on trust.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,8,Collin Stewart,collinstewart,2026-06-15,1w,https://www.linkedin.com/posts/collinstewart_the-first-10-customers-should-teach-you-more-activity-7472335744951480321-Q1k9,https://www.linkedin.com/feed/update/urn:li:share:7472335743672061952,19,5,3,595,image,True,False,general sales/content,7472335744951480321,"The first 10 customers should teach you more than they pay you. That sounds backwards until you live it. Early revenue is important, obviously, but the real value of those first customers is the learning: - Why they cared. - What almost stopped them. - What they tried before. - What language they used. - What they expected after buying. - What you misunderstood about the problem. If you rush past that learning, you build a sales motion on top of assumptions. That's how companies end up scaling into the wrong market, wrong message, or wrong customer. The first customers are the curriculum.",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,9,Collin Stewart,collinstewart,2026-06-12,2w,https://www.linkedin.com/posts/collinstewart_sales-activity-7471222115430522880-rvz2,https://www.linkedin.com/feed/update/urn:li:ugcPost:7471222114495201282,2,1,0,482,repost,False,True,cold email; pipeline/building demand,7471222115430522880,"You probably might think inconsistent revenue is a sales problem. That you can fix it with: - More calls. - More emails. - More follow-up. - More pressure. But Dan Rochon sees the problem differently. In our recent conversation on the #PredictableRevenuePodcast, Dan connects predictable income to something deeper than activity volume: the ability to help prospects understand their problem, trust the path forward, and make a decision without feeling pushed into it. Check it out!",Order NOW: The Terrifying Art of Finding Customers!
Collin Stewart,https://www.linkedin.com/in/collinstewart/,15,10,Collin Stewart,collinstewart,2026-06-11,2w,https://www.linkedin.com/posts/collinstewart_had-the-chance-to-discuss-with-dan-rochon-activity-7470895147594076160-9UGm,https://www.linkedin.com/feed/update/urn:li:ugcPost:7470894978261716995,3,1,0,291,text,False,False,general sales/content,7470895147594076160,"Had the chance to discuss with Dan Rochon about how consistent daily effort and storytelling can shape your business journey and personal growth. In this episode, we explore the power of small steps, writing as a form of therapy, and creating impactful messages through narrative techniques.",Order NOW: The Terrifying Art of Finding Customers!
