expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,1,John Barrows,johnbarrows,2026-06-26,4h,https://www.linkedin.com/posts/johnbarrows_bebetter-aislop-activity-7476277069904003072-zAeZ,https://www.linkedin.com/feed/update/urn:li:share:7476277068549386240,35,25,0,673,image,True,False,pipeline/building demand; AI/sales tech,7476277069904003072,"Apparently this is what is considered ""research"" and ""personalize"" using AI these days.... It's even worse than the find/replace (name/title/industry) approach to ""personalization at scale"" that we had with the cadence tools before AI. Nothing annoys me more than a company who doesn't even practice what they preach in their actual messaging when trying to sell what they do. Don't get me wrong, I understand and appreciate the use of sequences and AI but if you're going to try to sell me on your ""personalized"" approach to prospecting you better damn well personalize it. by the way, 4 years working with 30 clients isn't exactly impressive either..... #bebetter #AIslop","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,2,John Barrows,johnbarrows,2026-06-25,1d,https://www.linkedin.com/posts/johnbarrows_apollopartner-apolloanywhere-makeithappen-activity-7475918722575007747-0N_v,https://www.linkedin.com/feed/update/urn:li:share:7475918719517499392,69,28,1,2002,image,True,False,cold email; AI/sales tech,7475918722575007747,"I haven't logged into Apollo.io in over a month. Not because I stopped using it. Because Apollo's MCP connector lets me run everything through Claude now. Here's what that actually looks like. I set up three outbound sequences in Apollo for three completely different audiences. Former Salesforce people I've trained who now lead sales teams at new companies. Manufacturing and industrial companies outside the SaaS world. And dormant customers I've worked with over the past few years. Apollo handles the identification, enrichment, sequencing, and execution for all three. Last week I asked Claude to pull the analytics on my Tier 2 manufacturing sequence. Within seconds it went into Apollo, grabbed the open rates, reply rates, and engagement data, and came back with specific insights on what messaging was landing and what wasn't. I then told Claude we needed to update the messaging based on what the data was showing. It went back into Apollo, rewrote the sequence copy, and created a separate Tier 2 sequence so we could start testing the new version against the original. I didn't open Apollo once. I didn't toggle between tabs. I didn't export a CSV and analyze it in a spreadsheet. The entire loop from analytics to insight to action happened in one conversation. Now I get a daily recap of open rates, response rates, and what's working across all three tracks. All through Claude. Not Apollo. This is what people mean when they say AI changes how you sell. It's not about automating the work. It's about compressing the feedback loop. What used to take me a full morning of pulling reports, reading data, rewriting emails, and rebuilding sequences now happens in a conversation. And I still approve every message before it goes out. The tools that win aren't the ones with the most features. They're the ones that show up where you already work and let you act on data without breaking your flow. Apollo figured that out. Link in the comments. #ApolloPartner #ApolloAnywhere #MakeItHappen","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,3,John Barrows,johnbarrows,2026-06-24,2d,https://www.linkedin.com/posts/johnbarrows_most-managers-and-parents-think-theyre-activity-7475603773999173632-yL9g,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475603679417356288,45,23,0,1771,text,False,False,leadership/career; discovery/qualification,7475603773999173632,"Most managers (and parents) think they're disciplining their team so they can help them improve. Apparently, they're actually making them dumber. I had Bryan Post on Make It Happen Mondays this week. Bryan has spent 30 years working with highly stressed families and children. He's written 22 books. And he said something that completely reframed how I think about leadership. ""The definition of discipline is to teach, not to punish."" he shared that when you put someone under stress, their thinking becomes confused, distorted, and their short-term memory shuts off. So when a manager ""disciplines"" a rep by putting them on blast in a team meeting or managing through fear, they're not teaching anything. They're suppressing that person's ability to learn and retain information. Think about how that applies to sales too. When a buyer is stressed, overwhelmed, scared to make a decision, piling on more pressure doesn't move them forward. It shuts them down. Bryan actually challenged the entire Challenger Sale model on this point. If a buyer is already afraid, a ""challenging"" them with FUD is adding fear on top of fear which creates a compounding negative effect. Instead, he suggests to slow down and get curious. Ask ""what is it about this decision that's stressing you so much?"" That one question changes the whole dynamic because now you're in connection, not confrontation. This conversation went deep into stress, cortisol, fight or flight, the science of fear, and how it all shows up in how we lead, parent, and sell. It's a little different than my normal interview but I this one was super interesting for me and should be for you too. When you need to correct someone on your team or help a buyer through a tough decision, are you teaching or punishing?","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,4,John Barrows,johnbarrows,2026-06-23,3d,https://www.linkedin.com/posts/johnbarrows_makeithappen-activity-7475176086696513536-AO39,https://www.linkedin.com/feed/update/urn:li:share:7474942956597080064,27,39,0,2911,image,True,False,pipeline/building demand; AI/sales tech; leadership/career,7475176086696513536,"Is curiosity something you're born with, or can you teach it? I ask almost every podcast guest this question. Based on their feedback and my observations, my opinion is that genuine curiosity is something you're born with BUT you can develop it by getting someone interested in something first. Interest is the on-ramp to curiosity. But, this is only my opinion. So, I got curious and wanted to see if there was any data/science that backed this up and used AI feed my curiosity. Here's what it came up with: (AI content) George Loewenstein at Carnegie Mellon published the ""information gap"" theory. Curiosity only fires when you notice a gap between what you know and what you want to know. No gap, no curiosity. You need to know enough about something to realize what you don't know. That's why interest has to come first. A UC Davis neuroscience study found that curious people remember completely unrelated information better. Curiosity improves your memory about everything around you, not one thing. (end of AI content) Think about what that means on a sales call. Reps who are genuinely curious about helping the client don't just pick up on the client's direct answers, they pick up on side comments, body language and throwaway lines that nobody else catches. Here's one way I've applied this for 25 years. When reps work with me, we dive into the nuanced details of their ICP so they can tier out their accounts and build a list of top 25 Tier1 accounts to start prospecting into. After they build the list but before I allow them to start prospecting into them I have them do one more exercise. I want them to go look to find a reason they personally want to work with them, and not just because they fit the ICP. Is it their leadership? Do their values align? Is it a really cool product/service they could see selling themselves? I want them to find a personal connection to the account because one you make that connection, you become more curious which leads to more research which leads to better and more authentic messaging which leads to better and more fulfilling results. You don't build or train curiosity by telling reps to ""be more curious."" You create the conditions for it and AI can either be an accelerator or replacement for it. We went from search engines to answer engines. Search made us dig a little, which created gaps, which created curiosity. Answer engines skip the process entirely. For people who aren't curious, that's dangerous. For curious people, AI is the greatest research and curiosity tool ever built. I went from a question I've been asking for years to published neuroscience in minutes. I also didn't take the first answer it gave me. I pushed back and went deeper each time. The AI didn't make me curious. My interest in the topic made me curious which made the AI incredibly useful. Stop looking for the answers, get interested and be curious... #MakeItHappen","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,5,John Barrows,johnbarrows,2026-06-17,1w,https://www.linkedin.com/posts/johnbarrows_life-imitates-art-far-more-than-art-imitates-activity-7473007091582984192-DjPQ,https://www.linkedin.com/feed/update/urn:li:share:7473007090278486016,98,40,0,1760,image,True,False,general sales/content,7473007091582984192,"""Life imitates Art far more than Art imitates Life"" - Oscar Wilde, The Decay of Lying. I'm starting to believe that Art predicts or even dictates life at this point. Have you ever seen the movie Idiocracy? If not, set your expectations low if you decide to watch it. It's not exactly an Oscar winner but unfortunately seems to be where we're heading these days. Long story short, it's about an idiot in today's world (Luke Wilson) who gets frozen and forgotten about for 500 years. When he wakes up, the US population has gotten progressively dumber and the ""smartest"" person is the president. Even though he was a moron by today's standards, Luke Wilson is now a genius compared to everyone else in the future. One of my favorite aspects of the movie is the story about one of their wardrobe decisions. In the movie, the costume department had a shoestring budget and needed cheap, futuristic-looking footwear. They found a pair of the foam clogs from a unknown boating startup at the time. The producers initially expressed concern, asking what would happen if the shoes became mainstream by the time the film was released. The costume designer reportedly laughed it off, assuring him that no one would ever wear such horrible-looking things. Because 20th Century Fox shelved the film for two years, Idiocracy did not hit theaters until September 2006. In that exact window, those ""horrible looking things,"" now known as Crocs, exploded from an obscure boating startup into a massive global fashion phenomenon. If you watch the movie, every single person in the future is wearing Crocs. So, what was originally intended to be a cheap, futuristic, and intentionally stupid-looking gag ended up accidentally predicting the future of footwear. You're welcome :)","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,6,John Barrows,johnbarrows,2026-06-16,1w,https://www.linkedin.com/posts/johnbarrows_leaders-do-you-have-a-fear-based-culture-activity-7472631054193868801-YvU7,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472630931317506048,32,14,1,436,text,False,False,general sales/content,7472631054193868801,Leaders - do you have a 'fear-based' culture or a culture of ownership? Julie Averill stepped into the CIO role at Lululemon and before she even started she knew she was walking into a fear-based culture that needed to change immediately. Listen to the clip below and the full podcast wherever you get yours to hear how she was about to turn it around and take them from $2b to $10B in 8 years. How do you create a culture of ownership?,"Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,7,John Barrows,johnbarrows,2026-06-15,1w,https://www.linkedin.com/posts/johnbarrows_this-weeks-replace-or-rebuild-linkedin-activity-7472279008643117059-yAxB,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472279008274104320,32,10,0,85,text,False,False,LinkedIn/social selling,7472279008643117059,"This week's 'replace or rebuild"" Linkedin article is out. Let me know what you think.","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,8,John Barrows,johnbarrows,2026-06-10,2w,https://www.linkedin.com/posts/johnbarrows_makeithappen-sales-prospecting-activity-7470490922867392512-YcLJ,https://www.linkedin.com/feed/update/urn:li:share:7470490921667743744,42,19,1,1734,image,True,False,cold email; sales training; pipeline/building demand,7470490922867392512,"Personalization at scale is an oxymoron. When everyone is using AI to personalize, the noise goes up., not the bar. I'm seeing it everywhere right now. Inboxes are flooded with AI-generated emails that all sound the same. ""I noticed your company recently..."" followed by a paragraph that could've been written to anyone. The reps who are still getting responses aren't personalizing more. They're being more relevant. There's a difference. Personalization is finding a common trigger event or commonality to use to reach out to someone. Relevance is knowing what challenges or opportunities that trigger event causes for the person your reaching out to and why your solution matters now. I'm running a free live workshop next week on executing quality outreach, both email and phone, in a world drowning in AI slop. I'm going to break down: - What quality outreach actually looks like in 2026 - How to structure emails and calls that get responses - How to use AI for research and prep without outsourcing your thinking - The difference between Tier 1, Tier 2, and Tier 3 approaches I'm also going to be sharing AI Prompt Packs for creating quality email and phone outreach that you can use in whatever AI tool you prefer. You have to show up live to get them though since there will be no recording or replay for now JB Sales Members. I've partnered up with Insightly CRM by Unbounce on this one as a sponsor because none of this works if your data lives in spreadsheets and your head. You need a system and Insightly's system is one of the best I've seen for teams in the 10-500 range. Register here: https://lnkd.in/egz2bVts If you're willing to put in the effort, I can show you the approach. #MakeItHappen #sales #prospecting #AI","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,9,John Barrows,johnbarrows,2026-06-05,3w,https://www.linkedin.com/posts/johnbarrows_incoming-rant-i-recorded-this-2-weeks-ago-activity-7468699118647787520-CPbU,https://www.linkedin.com/feed/update/urn:li:ugcPost:7468698459328516096,197,107,6,1432,text,False,False,AI/sales tech,7468699118647787520,"Incoming rant! I recorded this 2 weeks ago after I attended RevFest (which was awesome btw) and debated on whether or not to post it but I just watched it again and still feel the same way. It’s a little longer than usually and I ramble a bit but it’s exactly what I’m seeing the issues are in today’s GTM orgs. What made me do the video was when one of the presenters asked about how many Enablement people were in the room. Only a few hands went up but I heard a few boooos in the crowd and then the presenter went on to inferred that Enablement wasn’t as necessary with all the AI now. I wasn’t the only one who heard it either and I had multiple conversation with people after who felt the same way I did about it. Don’t get me wrong, there is plenty of bad enablement out there but all the tech, insights and processes in the world don’t matter if the Sales rep doesn’t have the skills to leverage them in a conversation. I see Enablement as the connective tissue of all of it from a human perspective. This isn’t a one vs the other issue, it’s an ALL issue. Companies that are still siloed or who think one department is more important than another than the other are going to fail and fail hard. If we’re not all working together from a GTM standpoint we’re all going to lose. The ones who are aligned and respect what the other brings to the table will be the ones who excel and thrive in this new world we’re all living in.","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
John Barrows,https://www.linkedin.com/in/johnbarrows/,15,10,John Barrows,johnbarrows,2026-06-05,3w,https://www.linkedin.com/posts/johnbarrows_what-does-mentorship-mean-to-you-i-was-activity-7468633394038517760-jQmS,https://www.linkedin.com/feed/update/urn:li:ugcPost:7468633283095089153,29,18,1,1761,text,False,False,sales training; leadership/career; negotiation/closing,7468633394038517760,"What does mentorship mean to you? I was always a bit uneasy having ""A"" mentor. I looked/look for different people who had specific traits that I admired and wanted to learn from. Mentorship doesn't have to be a formal thing and you don't have to be in a leadership role to be a mentor. As a matter of fact, most of the people that I would consider mentors don't even know they are one to me. If there is one that I would highlight, it's my now good friend, Jeff Hoffman. When I was 23 years old leading sales for my first start up and kicking the sh-t out of all our competition, I thought I was the best sales rep out there. The I went to a public sales training workshop that Jeff was presenting at and realized I wasn't close. Without him knowing it, he inspired me to be better. Later on I ended up working for him at Basho and continuing to learn from him. I don't think he knew it at the time but I was paying attention to absolutely everything he did. Now, years later, I still consider him a mentor but now much more of a friend. I share this story because I was reminded of it after having a fantastic conversation with Colleen Stanley, CEO on this week's episode of the Make it Happen Monday podcast. Colleen is an expert in emotional intelligence and mentorship in sales and sales leadership. We talked how mentorship is more important now than ever and how companies don't necessarily need to have a formal mentor program but they need to build a culture of mentorship. We also talked about EQ and how to train and develop it which I think is more important than ever now that IQ is a commodity. Take a listen to the clip below and listen to the full podcast wherever you get yours. What does mentorship mean to you and who do you consider a mentor?","Helping sales leaders replace or rebuild their teams for the AI era | Founder, JB Sales | 3x LinkedIn Top Voice"
