expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Josh Braun,https://www.linkedin.com/in/josh-braun,15,1,Josh Braun,josh-braun,2026-06-26,2h,https://www.linkedin.com/posts/josh-braun_im-about-to-walk-on-stage-ive-been-doing-activity-7476331275012988928-N4cq,https://www.linkedin.com/feed/update/urn:li:share:7476331274258014208,17,3,0,739,text,False,False,general sales/content,7476331275012988928,"I’m about to walk on stage. I’ve been doing this for over 10 years. And every single time… …I get nervous. I used to think the goal was to get rid of the nerves. It isn’t. Now I just say, “Hi.” Thanks for showing up. Thanks for reminding me that I care. The nerves aren’t the bad part of me. They’re one of the good parts. I don’t wait until I feel fearless. I walk on stage nervous. For the first four minutes, my heart races. My mouth is a little dry. My brain wonders if I’ve forgotten how to speak. Then something shifts. I stop thinking about myself. I start thinking about the people in the room. And that’s when the nerves take a back seat. Confidence isn’t the absence of nerves. It’s learning to make room for them. Do it nervous.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,2,Josh Braun,josh-braun,2026-06-26,6h,https://www.linkedin.com/posts/josh-braun_want-to-be-happier-in-sales-and-in-life-activity-7476274352741752832-jvmk,https://www.linkedin.com/feed/update/urn:li:share:7476274352158789632,41,8,0,108,text,False,False,general sales/content,7476274352741752832,Want to be happier in sales? And in life? Lower your expectations. Nope. Lower. A little more. There you go.,"Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,3,Josh Braun,josh-braun,2026-06-26,7h,https://www.linkedin.com/posts/josh-braun_i-bought-a-ge-refrigerator-with-a-warranty-activity-7476262298865668097-fUjU,https://www.linkedin.com/feed/update/urn:li:share:7476262298026717184,17,4,0,611,text,False,False,negotiation/closing,7476262298865668097,"I bought a GE refrigerator with a warranty. Then one day the drawers decided they no longer believed in opening or closing. “No problem,” I thought. “That’s what warranties are for.” Naive. Apparently a warranty isn’t a repair program. It’s an escape room. Call this number. Now call this number. Now wait for parts. The parts arrived. Wrong parts. Schedule another technician. Earliest appointment: sometime before the next ice age. Companies obsess over making the sale. Then accidentally turn their support process into a endurance test. The product breaks once. The customer experience breaks over and over.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,4,Josh Braun,josh-braun,2026-06-26,7h,https://www.linkedin.com/posts/josh-braun_i-had-a-discovery-call-i-thought-went-great-activity-7476250575412727809-VeHl,https://www.linkedin.com/feed/update/urn:li:share:7476250573428826112,37,16,1,1364,text,False,False,prospecting; discovery/qualification,7476250575412727809,"I had a discovery call I thought went great. The prospect was friendly. Lots of nodding. Lots of “yeah, exactly.” Every time they said something, I agreed. When they raised a concern, I softened. When they hesitated, I rushed in to smooth it over. The call felt pleasant. I hung up feeling good. They never bought. A few weeks later, I listened back to the recording. That’s when I heard it. I didn’t challenge a single thing they said. I didn’t offer a point of view. I was focused on being likable. I was auditioning. I was adjusting what I said based on what I thought they wanted to hear. I avoided pushing back. I edited my opinions. I prioritized harmony over honesty. That was the problem. When prospects sense you’re telling them what you think they want to hear rather than what they need to hear, they don’t trust you. Later, a mentor said something that stuck: “Buyers don’t need you to agree with them. They need you to help them think.” That was the shift. Respect didn’t come from being nice. It came from: Naming trade-offs. Challenging assumptions. Asking uncomfortable questions. Being willing to say, “That might not be the root cause of the issue.” The irony? The less I tried to be liked, the more sales I made because people trusted me. And in a world of similar products and services, trust is why people choose you. No trust. No transaction.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,5,Josh Braun,josh-braun,2026-06-26,9h,https://www.linkedin.com/posts/josh-braun_i-told-someone-i-lost-my-mother-they-immediately-activity-7476227692040916993-Cuem,https://www.linkedin.com/feed/update/urn:li:share:7476227691499892737,104,24,2,718,text,False,False,general sales/content,7476227692040916993,"I told someone I lost my mother. They immediately told me about losing theirs. Them: “Yeah, when my mom died, I remember…” It came from a good place. But in that moment, the spotlight moved. Off my mom. Onto theirs. When that happens, the other person never gets to share what they came to share. Most people don’t do it on purpose. That’s what makes it so easy to miss. Keeping the spotlight on someone else is a skill. It takes self-awareness. Here’s a better response: “Oh gosh. I’m so sorry. What’s your fondest memory of your mom?” Now the spotlight stays where it belongs. On them. This week: Begin to notice where the spotlight is. Notice how you make other people feel when you’re curious about what they said.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,6,Josh Braun,josh-braun,2026-06-25,1d,https://www.linkedin.com/posts/josh-braun_why-people-dont-buy-a-homeowner-notices-activity-7475980995046014976-YjQH,https://www.linkedin.com/feed/update/urn:li:share:7475980994370670592,35,24,1,664,text,False,False,general sales/content,7475980995046014976,"Why people don’t buy. A homeowner notices a small crack in the wall. A handyman knocks on the door. “Want me to fix it?” The homeowner says no. Why? Not because they don’t want a better house. Maybe they’re leaving for vacation next week. Bad timing. Maybe they don’t trust the handyman. Maybe they can’t decide which handyman to use. Or maybe they’re staring at a leaking roof, a broken AC, and a kitchen remodel. Compared to those, the crack just isn’t a big enough problem. That’s how buying decisions work. When people don’t buy, it’s because: The timing isn’t right. They don’t trust you. They can’t decide on the solution. Your problem loses to a bigger one.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,7,Josh Braun,josh-braun,2026-06-25,1d,https://www.linkedin.com/posts/josh-braun_in-selling-we-have-a-strong-holding-on-muscle-activity-7475964632852189184-fkFB,https://www.linkedin.com/feed/update/urn:li:share:7475964632180953091,13,3,0,506,text,False,False,prospecting,7475964632852189184,"In selling, we have a strong holding-on muscle. We chase. We follow up. We circle back. But we never train the letting-go muscle. Here’s how I strengthen mine. When a prospect no-shows a meeting, I do nothing. About 70% of the time, they catch it themselves. They apologize. They reschedule. The other 30% stay quiet. I let them. I’m not chasing. I’m testing for motivation. I add them to my nurture track and move on. I don’t play catch with people who keep the ball. How strong is your letting-go muscle?","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,8,Josh Braun,josh-braun,2026-06-25,1d,https://www.linkedin.com/posts/josh-braun_i-had-a-good-friend-in-college-named-seth-activity-7475913331858456576-Ar8_,https://www.linkedin.com/feed/update/urn:li:share:7475913329866366977,169,16,3,1203,text,False,False,general sales/content,7475913331858456576,"I had a good friend in college named Seth. He drank until he passed out. Most nights. So I did what I thought a good friend does. I lectured him. I told him about his liver. I pitched him on rehab. I gave him the full TED talk on why he had to change. He didn’t change. He just pulled away. And eventually I lost my friend. Here’s what I got wrong. I stood top of a tree, like a wise monkey shouting at a fish. “Hey Seth Fish. Get out of that pond. Come live up here in my tree.” Fish don’t do well in trees. What I wish I’d done was simple. Walk around and sat next to him in the pond. Slide him a coffee. “Morning, man. Rough one?” No judgment. No fixing. Just next to him. I can’t do that with Seth anymore. He passed away. But I carry it now. Because the moment I try to “help” someone, I’m telling them I’m one up. That I know better. Sitting beside someone and supporting them, with no judgment, is a different thing entirely. That skill made me a better salesperson. But more than that, it made me a better person. We live in a world that’s loud and divisive, where everyone is starving to feel heard. Here’s the one thing I know to be true. People don’t resist change. They resist being changed.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,9,Josh Braun,josh-braun,2026-06-25,1d,https://www.linkedin.com/posts/josh-braun_im-giving-a-talk-at-an-sko-mid-sentence-activity-7475888118550794241-3NPt,https://www.linkedin.com/feed/update/urn:li:share:7475888117623955457,50,16,0,1406,text,False,False,general sales/content,7475888118550794241,"I’m giving a talk at an SKO. Mid-sentence, I notice a few people tapping away on their phones. And my brain does what brains do. “They’re bored.” “I’m losing them.” “This is officially bombing.” Cue the internal Netflix documentary: The Rise and Fall of Josh Braun. Then I caught it. And asked myself “What else might be happening?” What if they’re taking notes? What if they’re Slacking their team: “This part’s good”? What if someone’s dealing with a small fire at home that has nothing to do with me? Nothing in the room actually changed. Only the story I told myself about what I was seeing. Same phones. Completely different meaning. And almost instantly, my body followed the new story. Shoulders dropped. Voice steadied. Energy came back. Here’s the thing; The mind is like a bad sports commentator. It sees one play and immediately declares the season over. No replay. No context. Our feelings don’t come from what happens. They come from the meaning we attach to what happens. Change the story, and you change how you feel. The skill isn’t positive thinking. It’s story awareness. Catching yourself mid-narration and remembering: “This is just one possible script.” Most anxiety isn’t caused by the situation. It’s caused by the story we sprint ahead and tell ourselves about the situation. Notice the story. Don’t believe the first draft. Rewrite if needed. That’s the practice. Simple, not easy.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
Josh Braun,https://www.linkedin.com/in/josh-braun,15,10,Josh Braun,josh-braun,2026-06-25,1d,https://www.linkedin.com/posts/josh-braun_treat-sales-like-a-video-game-why-a-game-activity-7475862356909199361-kiou,https://www.linkedin.com/feed/update/urn:li:share:7475862355701256192,189,23,13,445,image,True,False,general sales/content,7475862356909199361,"Treat sales like a video game. Why? A game is just a fun, rule-based activity. That’s it. You stop taking it so seriously. Setbacks aren’t the end of the world. They’re obstacles. Part of playing. You expect obstacles when you play. You don’t freak out when they show up. Same in sales. A game feels like a challenge, not a threat. You level up. You don’t give up. You learn nos are part of playing. One path doesn’t work? Take another. Respawn.","Struggling to book meetings? Getting ghosted? Want to sell without pushing, convincing, or begging? Read this profile."
