expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,1,Marcus Chan,marcuschanmba,2026-06-26,6h,https://www.linkedin.com/posts/marcuschanmba_the-real-culprit-their-own-system-activity-7476242956971327490-XVkf,https://www.linkedin.com/feed/update/urn:li:ugcPost:7476084172663554048,27,31,6,1152,document,False,False,leadership/career,7476242956971327490,"Adam Morris has run thousands of sales searches. I asked him why CEO, founders, and CROs keep losing good sales reps. Most exec blame the reps.The real culprit is their own system. One exec kept firing reps every few months. He was sure they were the problem. The process only lived in his head. So Adam had him fix four things. Write the whole process down. Fix the handoff from sales to operations. Pull the CRM busywork off the reps. Run the exit interview and find the pattern. The turnover stopped. And he finally saw which seats were actually broken. If the system lives in your head, it walks out the door when the rep does. A system isn't a system until it's documented. Here's the kicker most leaders miss. The next time a rep leaves, look at the system before you look at the person. The gap is usually sitting in plain sight. Most of the time it is fixable in a week. Every quarter you blame the people instead of the process, the turnover compounds. Across every rep you hire. Across every manager who copies your habits. P.S. Adam Morris just joined The Revenue Vault. Watch or listen to the full interview at the links in the comments. ⬇️","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,2,Marcus Chan,marcuschanmba,2026-06-26,16h,https://www.linkedin.com/posts/marcuschanmba_your-sdr-is-trained-to-fail-300-dials-a-activity-7476091930611843072-IPKD,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475825412653096960,22,12,2,730,text,False,False,leadership/career; events/keynotes,7476091930611843072,Your SDR is trained to fail. 300 dials a day. 15 conversations. 2 meetings booked. 1 shows. That math gets the company to the board meeting. It doesn't get the SDR to a career. Three changes. 𝐎𝐧𝐞. Cut the dial target in half. Replace it with 20 hours of field work per quarter. Trade shows. Industry events. Coffee with operators. 𝐓𝐰𝐨. Pair every SDR with a senior AE on one named account. Same target. Different role. Real selling. 𝐓𝐡𝐫𝐞𝐞. Hire SDRs who've never sold before. Train them on listening. Their lack of script makes them human. A team I work with switched to this in March. Meetings booked dropped 22%. Meetings held jumped 84%. Revenue per SDR doubled. Get them focused on the right work that actually drives results.,"Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,3,Marcus Chan,marcuschanmba,2026-06-25,21h,https://www.linkedin.com/posts/marcuschanmba_every-bad-sales-hire-costs-you-240k-activity-7476016381340045312-FoyB,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475535135757672448,25,7,9,1336,document,False,False,cold calling; sales training; pipeline/building demand,7476016381340045312,"Every bad sales hire costs you $240K. $80K base. $60K in lost pipeline during ramp. $40K in manager time burned coaching the wrong person. $60K to recruit, onboard, and ramp the replacement. And most leaders make this hire off a resume and a 45-minute conversation. Resume walkthrough. Goal alignment. Three rounds of small talk. Nobody ever watched the rep sell. Then they hire. Month four they flame out. Then leadership says, ""We have a hiring problem."" You do not have a hiring problem. You have an interview problem. Here is the move. Round two, run a real play. Hand them one objection. ""I want to think about it."" Watch them work it live. You learn more in 90 seconds than 45 minutes of conversation. Then run a real cold call. Live. Real prospect. Your CRM. A hiring leader I coach put six finalists through this last quarter. Two could not get past hello. Three sounded scripted. One closed for next steps. He hired one. Five people walked out of the room. Five $240K mistakes he did not make. That is $1.2M he saved by running a 90-second test. The job is selling. The interview should be selling. Test the instinct, not the resume. P.S. CROs and Sales VPs running 5–25 reps: comment SESSION and I'll send the booking link for the free 45-minute Executive Snapshot. We map your top three revenue leaks (hiring is usually one).","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,4,Marcus Chan,marcuschanmba,2026-06-25,1d,https://www.linkedin.com/posts/marcuschanmba_8-ways-leaders-kill-outbound-before-it-starts-activity-7475880571014107136-2GZr,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475534802901835776,21,24,4,1053,document,False,False,sales training; AI/sales tech; leadership/career,7475880571014107136,"I've watched more outbound teams fail from the top down than the bottom up. The rep gets blamed. The build was broken. Here are the eight ways leaders kill outbound before the first call. #1 Hiring for the function instead of the role. You need demonstrated proof of excellence. #2 Expecting the rep to bring the playbook. Building it is on you. #3 Handing them dirty data. You hired a closer and gave them a broken list. #4 No tech stack. Then wondering why output is slow. #5 No real onboarding. ""Figure it out"" is not a plan. #6 Leaders coaching a motion they've never personally run. #7 No manager operating rhythm. No cadence, no review, no accountability. #8 Buying AI reps to skip the work, before the system underneath even exists. Across 700+ clients, the pattern is the same. The reps are not the problem. The build is. P.S. If you're standing up or rebuilding an outbound team, the Executive Snapshots working session shows you exactly where the build is leaking before you hire the next rep. Comment SESSION and I'll book a free 45-min slot.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,5,Marcus Chan,marcuschanmba,2026-06-25,1d,https://www.linkedin.com/posts/marcuschanmba_nothing-fails-like-success-nigel-green-said-activity-7475729486093881344-yL2l,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475337411342884864,21,16,4,921,text,False,False,pipeline/building demand; negotiation/closing,7475729486093881344,"Nothing fails like success. Nigel Green said it on the show. I have watched it kill more sales orgs than missed quota ever did. You hit the number three quarters in a row. You get comfortable. The same plays keep running. No new bets. No discomfort. The team stops noticing the market shifted. By the time the leader sees the slip, it is two quarters late. Comfort does not just slow you down. It chips away at the muscle that made you good. The willingness to be wrong out loud. The willingness to call a play that might fail. The willingness to fire the rep everyone likes who is not closing. That muscle atrophies fast. You do not lose it in a quarter. You lose it in a habit. So this week, find the uncomfortable call. The pricing conversation you have been ducking. The rep you should have managed out 60 days ago. The pipeline review where you stop accepting the same forecast story. That is how leaders stay sharp.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,6,Marcus Chan,marcuschanmba,2026-06-24,1d,https://www.linkedin.com/posts/marcuschanmba_pick-any-deal-in-your-aes-pipeline-ask-activity-7475653998323367936-Lzzz,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475336185612181504,31,22,4,957,text,False,False,sales training; pipeline/building demand; discovery/qualification,7475653998323367936,"Pick any deal in your AE's pipeline. Ask them to name the economic buyer in five seconds. If they can't, that deal is not real. A sales leader I coach pulled up his AE's pipeline last week. 50 open deals. He couldn't name the economic buyer on 47 of them. 47 of 50 deals. Dead. A pipeline of 50 deals where 47 are unknown is not a forecast. It is a list of hopes. Here is the move. Monday morning, pull every deal over 30 days old. Run it through the POWERFUL framework. Pain. Opportunity cost. Wants and desires. Executive influence. Resources. Fear of failure. Unequivocal trust. Little things. Four of eight missing equals not real. Mark it. Move it. Or close it. Most leaders cut their list by more than half in one pass. The reset takes a week. The forecast clarity lasts a quarter. P.S. If your forecast is off by 20%+, this is the exact problem we open every Executive Snapshots working session with. Comment SESSION and I'll book a free 45-min slot.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,7,Marcus Chan,marcuschanmba,2026-06-24,2d,https://www.linkedin.com/posts/marcuschanmba_your-champion-cant-defend-this-deal-to-activity-7475518145240256512-X8aW,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475174439555616768,26,34,4,2587,document,False,False,cold email; sales training; pipeline/building demand,7475518145240256512,"Your champion forwards your proposal to their CFO tonight. Tomorrow morning the CFO asks two questions. ""What does this cost us if we wait 12 months?"" ""What is the dollar return we get if we move?"" If your champion can't answer both in your exact words, your deal is dead. You just don't know it yet. Most reps stop at pain discovery. They think knowing the pain is enough to sell. It isn't. Without a business case, deals stall in procurement. CFOs cut budgets. You get ghosted three weeks after the demo. Here is the 5-step business case framework that elite reps run on every deal. Step 1. The 12-month consequence question. Don't ask ""what's the pain?"" Ask ""if this isn't fixed in 12 months, what breaks in the business?"" That single shift pulls the prospect out of today's friction and into strategic risk. Strategic risk gets funded. Friction does not. Step 2. Run the RIM check. Relevance. Impact. Motive. For every answer the buyer gives you, test all three. Why now (Relevance). What breaks if we wait (Impact). Who has the motive to fight for it internally (Motive). If you can't answer all three, the deal will not survive an internal review. Step 3. Tie the pain to money. Executives don't fund friction. They fund cost. ""This delay = $2M lost ARR."" ""Churn risk = $500K in accounts."" ""Manual work = 1 FTE at $85K."" Back of the napkin beats no math at all. The number doesn't have to be perfect. It has to be specific. Step 4. Translate into exec language. Stop saying ""improves collaboration."" Start saying ""ships projects 3 months faster, accelerates $10M in revenue recognition."" Stop saying ""better workflow."" Start saying ""$2M in operating costs out."" Executives don't buy tools. They buy outcomes denominated in dollars and quarters. Step 5. Co-author the case with your buyer. Don't email a PDF and hope they ""socialize"" it. That word is sales code for ""this is going to die in a Slack thread."" Sit with them. Ask one question. ""If you walked this into your CFO tomorrow, what would they push back on?"" Then build the rebuttals together. Now it's their case, not yours. Run this self-test on every active deal in your pipeline today. Could my champion defend this deal to their CFO tomorrow morning? If the answer is no, you have work to do this week. Not next quarter. If you lead the team: pick the three biggest open deals this week. Sit with the AE for 20 minutes on each. Run the CFO test live. The deals that can't pass it are the ones slipping. Coach the gap before it costs you the number, not after. P.S. Want our help to upskill your team? Message me SESSION.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,8,Marcus Chan,marcuschanmba,2026-06-24,2d,https://www.linkedin.com/posts/marcuschanmba_it-costs-us-a-lot-every-rep-hears-this-activity-7475367123226210304-zBs4,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475032758206029824,23,19,2,624,text,False,False,pipeline/building demand; discovery/qualification,7475367123226210304,"""It costs us a lot."" Every rep hears this on discovery calls. Every rep accepts it. Every rep wonders why the deal stalls. That's a feeling. Not a number. The CFO doesn't sign feelings. Here's the move: Make the prospect do the math out loud. ""How many reps are affected?"" ""How many hours per rep per week?"" ""What's the loaded rate?"" Now they're solving for the number instead of running from it. A team I worked with this week got their prospect from ""it costs us a lot"" to ""$340K a year"" in 4 minutes. Same prospect approved the proposal 11 days later. Your job is helping them find their number. Don't bring one for them.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,9,Marcus Chan,marcuschanmba,2026-06-23,2d,https://www.linkedin.com/posts/marcuschanmba_5-mistakes-are-killing-73-of-your-discovery-activity-7475284114900733952-c2fG,https://www.linkedin.com/feed/update/urn:li:ugcPost:7474819046836727809,24,25,4,1540,document,False,False,referrals; sales training; pipeline/building demand,7475284114900733952,"73% of sales teams make at least 3 of these 5 mistakes on every discovery call. Top 20% performers hitting 120%+ quota? They fixed all 5. 𝐌𝐢𝐬𝐭𝐚𝐤𝐞 #1: 𝐃𝐢𝐯𝐢𝐧𝐠 𝐢𝐧 𝐭𝐨𝐨 𝐟𝐚𝐬𝐭. You hop on the call. Skip rapport. Launch into pain questions. The prospect is jarred. Trust = zero. Fix: Reference recent company news in the first 90 seconds. 𝐌𝐢𝐬𝐭𝐚𝐤𝐞 #2: 𝐖𝐞𝐚𝐤 𝐩𝐚𝐢𝐧 𝐪𝐮𝐞𝐬𝐭𝐢𝐨𝐧𝐬. ""What challenges are you facing?"" gets a rehearsed answer. Fix: Ask for specific examples. ""Walk me through the last time this cost you a deal."" Real stories surface real pain. 𝐌𝐢𝐬𝐭𝐚𝐤𝐞 #3: 𝐍𝐨𝐭 𝐪𝐮𝐚𝐧𝐭𝐢𝐟𝐲𝐢𝐧𝐠 𝐢𝐦𝐩𝐚𝐜𝐭. Prospect mentions a problem. You say ""got it."" You just left six figures on the table. Fix: Run RIM on every pain. Relevance. Impact. Magnitude. If you sell $100K solutions, you need $1M+ of pain on the table. 𝐌𝐢𝐬𝐭𝐚𝐤𝐞 #4: 𝐒𝐞𝐥𝐥𝐢𝐧𝐠 𝐘𝐎𝐔𝐑 𝐩𝐫𝐨𝐜𝐞𝐬𝐬 𝐢𝐧𝐬𝐭𝐞𝐚𝐝 𝐨𝐟 𝐦𝐚𝐩𝐩𝐢𝐧𝐠 𝐓𝐇𝐄𝐈𝐑𝐒. Fix: Ask three questions. Who else is involved? What does your CEO care about? What happened last time you tried to buy this? 𝐌𝐢𝐬𝐭𝐚𝐤𝐞 #5: 𝐍𝐨 𝐜𝐥𝐞𝐚𝐫 𝐧𝐞𝐱𝐭 𝐬𝐭𝐞𝐩. ""I'll follow up next week"" = deal dies. Fix: Lock the next step on the call. A booked demo. A stakeholder intro. A mutual action plan. 3 mistakes per call. 260 calls per rep per year. 780 missed opportunities per rep, per year. If you lead the team: pull five recent discovery calls from your second-best rep. Count the mistakes. The coaching writes itself. P.S. The 5 discovery mistakes are the #1 reason deals stall in our free Revenue Leak Diagnostic Playbook. Link in the comments to uncover where else your org is leaking revenue.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,10,Marcus Chan,marcuschanmba,2026-06-23,3d,https://www.linkedin.com/posts/marcuschanmba_your-rep-just-had-their-first-call-in-2-months-activity-7475155740404408320-g6lq,https://www.linkedin.com/feed/update/urn:li:share:7474808111321731073,44,32,5,1962,image,True,False,cold email; sales training; pipeline/building demand,7475155740404408320,"Your rep just had their first call in 2 months. They opened with: ""So where are we at with the proposal?"" Deal died 10 minutes later. Here's what should have happened instead. I just coached a rep through this. She hadn't spoken to the prospect since August. It's October now. She was planning to pick up right where they left off. I told her to stop. Here's why deals die after time gaps. When you haven't talked to a prospect in weeks or months, everything has shifted. New priorities. New stakeholders. Budget conversations you weren't in. Internal politics you can't see. But your rep is still operating on information from 2 months ago. They show up out of sync. The prospect is thinking about different problems. Your rep is pitching yesterday's solution. Deal stalls. Deal dies. Elite reps do something different. They run a ""What We Learned"" call before talking next steps, proposals, or pricing. The framework is simple. Build a 3-4 section slide: → Key priority and business impact → Current state and specific pain points → Ideal state and desired outcomes → Core metrics and KPIs with quantified impact Then open the call like this: ""It's been a few months. I want to make sure we're 100% aligned. Based on our last conversations, here's what we learned. Here's the challenge you're facing. Here's what's at risk if it doesn't get solved. Does this still hold true?"" Let them correct you. Take notes. Adjust. You're doing two things at once. Showing them you actually listened. And giving them permission to update you on what's changed. Most sales leaders skip this step. They tell reps to ""follow up"" and assume that means scheduling a call. The rep sends an email, books a call, shows up cold, and wonders why the deal feels off. Your reps should never walk into a post-gap call and wing it. 20 minutes to build. Saves deals that would otherwise die. Run it before any post-gap call. P.S. Hit SAVE and REPOST to help more teams and AEs crush it ♻️","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
Marcus Chan,https://www.linkedin.com/in/marcuschanmba/,15,11,Marcus Chan,marcuschanmba,2026-06-23,3d,https://www.linkedin.com/posts/marcuschanmba_challenger-sale-is-killing-your-team-the-activity-7475004708219297792-Z6IY,https://www.linkedin.com/feed/update/urn:li:ugcPost:7474649608166526977,32,32,6,948,text,False,False,pipeline/building demand; discovery/qualification; negotiation/closing,7475004708219297792,"Challenger sale is killing your team. The book was good. The interpretation got bad. Reps read it and decided to challenge the prospect. They lead with confrontation. They argue with the buyer. They mistake disagreement for insight. Here's what's actually working. The empathetic sale. Reps who feel like a peer to the buyer close more deals than reps who feel like a teacher. Three moves. 𝐎𝐧𝐞. Lead the meeting with one specific reason you wanted this conversation. Not ""I'd love to learn about your business."" 𝐓𝐰𝐨. Reflect what you hear before you respond. ""What I'm hearing is..."" gets buyers to keep talking. 𝐓𝐡𝐫𝐞𝐞. When you disagree, say ""tell me more"" before you say what you think. The buyer wants a peer who understands the cost of doing nothing. P.S. If your reps are confronting buyers instead of meeting them, that's the exact leak we open every Executive Snapshots working session with. Comment SESSION and I'll book a free 45-min slot.","Sales org underperforming despite trying everything? I help CEOs, founders & B2B sales leaders use their own data to pinpoint the best 3 moves to grow revenue | $195M ex-Fortune 500 leader | WSJ bestseller | 700+ Clients"
