expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,1,Morgan J Ingram,morganjingramamp,2026-06-24,2d,https://www.linkedin.com/posts/morganjingramamp_i-talked-to-a-vp-at-one-of-the-largest-sales-activity-7475539643313090560-AlM6,https://www.linkedin.com/feed/update/urn:li:share:7475539641740431360,160,156,3,2256,text,False,False,cold email; cold calling; LinkedIn/social selling,7475539643313090560,I talked to a VP at one of the largest sales tech companies in the world last week. She said something that made me do The Rock eyebrow raise. The B2B teams deploying AI the fastest are about to discover their biggest problem isn't technology. It's their people. Me: I was like oooh tell me more. Angela Garinger Bennett said once we strip away all the admin work from sellers... once the agents are running and the workflows are humming... you're going to see a massive talent gap where people are going to want to skill up their team with this free time. Hearing that from someone inside 100s of these organizations made it way more real. Because the conversations I'm having with leaders right now are completely different than 12 months ago. When I work with organizations on outbound.. it's about how to send LinkedIn messages.. cold call.. cold email etc. Now it's... Morgan our reps have all the tools... They have the AI workflows.. But they can't: ↳ Hold a real conversation with a buyer. ↳ Think creatively on their feet. ↳ Connect the dots between what they're seeing and what the prospect actually needs. Slowly but surely people are starting to outsource their entire brain to AI and now they can't sell to a human as a human. Uh oh.. that is not good. And the part that really got me... she brought up newer sellers coming into the workforce will adopt AI fast yet have no idea how to even hold a conversation. Which will lead to them not wanting to sell because they would rather be behind the AI.. So.. I was in deep thought like what is next then? Here's where I've landed. AI will handle the non-soulful work. Research.. list building.. etc. But there's a deeper layer none of that touches. How do you show up when the admin is gone and it's just you and the buyer? How do you become someone people actually want to keep talking to? How do you think critically instead of waiting for AI to hand you the answer? The work I've committed to is simple.. develop better humans who happen to sell. The skills follow from there. Because in 6-8 months every team will have the same AI agents. The only thing separating your team from every competitor is how your people show up. Most teams aren't ready for that conversation yet. But it's coming.,Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,2,Morgan J Ingram,morganjingramamp,2026-06-22,4d,https://www.linkedin.com/posts/morganjingramamp_i-spent-9-weeks-straight-in-arizona-without-activity-7474814810707210240-Hr0A,https://www.linkedin.com/feed/update/urn:li:share:7474814809528528896,123,46,1,1967,image,True,False,LinkedIn/social selling; negotiation/closing,7474814810707210240,I spent 9 weeks straight in Arizona without traveling which I have not done since 2021. Here's 20 things it taught me about life that might change your pace. 1. I got closer to God's presence. 2. UK rap on a night drive through the desert. 3. The gym at 2pm when nobody's there is therapy. 4. I love playing pickleball... see you at the Olympics 5. Quicktime drinks after a long day in Arizona is clutch. 6. Spending quality time at church meeting new people. 7. My morning declarations change the way I see myself. 8. Morning walks before I look at my phone kept me calm. 9. Reading at Barnes and Noble for 2 hours is underrated. 10. Re-playing Red Dead Redemption gives me so much joy. 11. Applying Japanese principles regulates your nervous system. 12. Saying no to things that drain me got easier every single week. 13. I am genuinely in love with creating YouTube videos right now. 14. Embracing new outbound tactics that I never thought of before. 15. Working with clients got significantly better when I slowed down. 16. Cigar nights during the week paired with deep convos hit different 17. Random 2-hour conversations with my close friends were life giving. 18. Being present allows you to see things you've been missing for years. 19. I don't need to be on LinkedIn 5 hours a day to build a great business 20. My Head of Operations Stefano Canducci i is a gem of a human who I love working with as I had more time to be present The biggest thing I learned though... In this world we can create any environment we want to at any time. So.. I decided to spend LESS time on social media and MORE time with friends locally. This one commitment alone to evolved me as a person. • My Sales Team Six program got better. • It was more impactful for my clients. • My energy shifted. I didn't need to do more. I needed to be more. And I can 100% do it. That was the coolest part to find out. P.S. What's one thing you learned in this season that changed how you move?,Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,3,Morgan J Ingram,morganjingramamp,2026-06-18,1w,https://www.linkedin.com/posts/morganjingramamp_consensuspartner-activity-7473357547815559168-z8ZO,https://www.linkedin.com/feed/update/urn:li:share:7473357546871869440,78,37,0,2060,text,False,False,cold email; discovery/qualification; negotiation/closing,7473357547815559168,"I used to base my forecast on feelings. When I implemented the Jordan Rules I increased my close rate by 20%. Here is how I did it. For years, my forecasting was vibes-based. Because you know me I love the vibes. ""I think this one's close."" ""They seemed interested in the call."" ""Should close by the end of month... maybe."" Then I'd close no deals because they were stalled and wonder what happened. My effort was not in question, it was how I was tracking the deal. I was making decisions based on what buyers SAID, not what they DID. Here’s how I used my Jordan rules with Consensus to take this to the next level: I started tracking buyer behavior, not just buyer words. ↳ Did they actually watch the demo? Or just say they would? ↳ Which sections did they replay? ↳ Did they share it with anyone else? ↳ How long did the CFO spend on pricing? This is the data that actually predicts outcomes. So for my Jordan rules, I know that if a deal goes over 45 days then they are not as interested, if they don’t view the summary email more than 2 times that means it is not being forwarded around and if they do not watch my demo video breaking down my offer that means no one is watching it and interest is low. Now my forecast calls sound different: (my forecast calls are me, myself and I so bare with me here) 𝗕𝗲𝗳𝗼𝗿𝗲: ""I feel good about Acme Corp."" 𝗔𝗳𝘁𝗲𝗿: ""Acme Corp has 6 stakeholders who've watched the demo. Average watch time is 12 minutes. The VP of Ops replayed the integration section 3 times. This deal is legit."" That's not a vibe feeling. That's evidence. Consensus recently acquired Saleo and Peel, which means the platform now supports the entire product journey, from self-guided exploration to live demos to buyer intelligence. So your champion isn't just sharing a demo anymore. They're sharing an experience that can answer questions, adapt to what buyers care about, and give your team visibility into who's engaged, what's resonating, and where the deal stands. Stop forecasting with vibes. Start forecasting with real data. #ConsensusPartner",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,4,Morgan J Ingram,morganjingramamp,2026-06-17,1w,https://www.linkedin.com/posts/morganjingramamp_i-am-seeing-multiple-companies-that-cut-their-activity-7473007325990174720-zbOG,https://www.linkedin.com/feed/update/urn:li:share:7473007323301650432,175,79,2,2106,text,False,False,cold email; cold calling; LinkedIn/social selling,7473007325990174720,"I am seeing multiple companies that cut their SDR teams in January to ""save money"" now put up multiple SDR job openings to build back out their team. This is a cycle I believe we will continue to see. As I have been saying for months as leaders we should be hyper focused on developing our talent then worry about AI every single day. I am pro AI don't get me wrong. Claude power user over here my friends. Yet I am also pro human. And I keep asking this question to leaders: ""What happens when your team gets all this free time. What is next? I get mostly crickets here. Which I understand why... the main job to be done right now is build a foundation of AI to compliment outbound efforts. As AI compliments the efforts though.. that leads to the SDR role evolving. It's where your future leaders learn to handle rejection, read people, think on their feet, and create something from nothing. It's why I am still bullish on developing the skills of the SDR team because it will elevate your entire organization if these reps learn how to really be sellers. Because copying and pasting a prompt into an AI over and over again.. is not going to develop the skills. I mean a bot could do that.... A bot can send a thousand emails.... • It can't read the room on a cold call. • It can't connect a prospect's LinkedIn post to the problem they mentioned in passing. • It can't build the relationship that turns a maybe into a yes. And it definitely can't get promoted to AE and carry your pipeline in 18 months. The companies that develop their SDRs as humans... build the strongest revenue orgs. If it's treated as disposable... you end up rebuilding the same team every 2 years and are left scratching their heads. I'm spending 80% of my time right now running my Sales Team Six program for SDR/AE on this exact thing. How to develop business acumen... connecting the dots.. and embracing the craft of doing outbound in a way no AI can replicate. SDRs are the farm system for your entire revenue organization. Don't be the company running for the oxygen mask in 2027 because you cut off the pipeline in 2026.",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,5,Morgan J Ingram,morganjingramamp,2026-06-15,1w,https://www.linkedin.com/posts/morganjingramamp_2018-2-million-impressions-per-month-on-activity-7472295525753602051-Kl1z,https://www.linkedin.com/feed/update/urn:li:share:7472295522641358848,131,90,0,2043,image,True,False,LinkedIn/social selling; pipeline/building demand,7472295525753602051,"2018: 2 million impressions per month on LinkedIn. 2026: 70% less reach. And I've never been more at peace with it. I know.. sounds crazy. Let me explain. I've been on this platform for 10 years. Over 6,000 posts..... which is wild to even type out. And I was consumed by it. Like a little obsessive to be fair... • I would be extremely upset when a post didn't perform. • Disappointed in myself. • Staying up at night trying to reverse engineer why things didn't work. LinkedIn was my identity. If a post went well I was flying.. if it flopped I would spiral. So two years ago I decided I couldn't live like that anymore. So I started putting in the work to untie my identity from this platform and tie it to something deeper. My relationships. My craft. My faith. Here's what happened... My reach dropped by 70%. And yeah I could always improve on that. But something else happened.. my client work inside Sales Team Six got significantly better. My relationships in Arizona deepened. I reconnected with God in a way I never had before. And I was like wow.. my joy is back. Less impressions. More impact. And here's what I noticed with the sales leaders I work with too. If you obsess too much on the metrics.. it can lead to mad stress. The leaders who shifted from volume to depth of conversation saw their pipeline actually grow. So as you experience the algo shift that's frustrating everyone right now.. I get it. I've been the person screaming into the void about reach. But what if this is the best thing that could've happened to your business...? What if reaching fewer people is freeing you up to go deeper with the right ones? What if the platform getting noisier is the push you needed to pick up the phone, show up in person, and build relationships that don't depend on an algorithm? You can do both. Create content AND go deep with relationships. But if you had to pick one to obsess over.. pick the relationships. Maybe this is the season to stop performing and start becoming. The algorithm will change. Relationships won't.",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,6,Morgan J Ingram,morganjingramamp,2026-06-10,2w,https://www.linkedin.com/posts/morganjingramamp_my-take-is-that-the-way-were-chasing-ai-activity-7470448451105759232-L1x9,https://www.linkedin.com/feed/update/urn:li:share:7470319545522667520,102,131,0,2786,text,False,False,cold calling; AI/sales tech; events/keynotes,7470448451105759232,"My take is that the way we're chasing AI efficiency is about to set the B2B sales profession back 10 years. Before the pitchforks come out.... hear me out. I'm deep in AI... I love me some Claude and I use it every day. I understand the goal of AI is to make your 20-person team operate like 40. That's the multiplier and I'm all for it. And... I know your board is asking about AI, which creates executive urgency to adopt AI at a faster rate. Where my take is coming from though is I went to a conference last week and every conversation was the same... “AI is going to free up our reps’ time.” Ok yes we agree....cool... I kept asking this follow up question. Free up time to do what exactly? “More selling.” “More calling.” Ok but that's like one hour.. then what? What's the actual game plan when reps have more free time? Crickets. Because we all know the way things are moving the AI transformation will happen fast.. Two quarters from now the AI layer will be table stakes. Every team will have it and every competitor will be running the same playbooks. Which means the only thing that separates your team from theirs is how your people show up. The last thing we want on our sales team is them losing critical thinking skills and never learning business acumen which would upset a future buyer. As sales leaders we need to imagine beyond just selling: → Tailored campaigns with direct mails and multi-threading → Spending time learning the industry with podcasts and increasing business acumen → Live engagement in communities where your buyers actually spend time → Getting in the field... events, dinners, faces across tables That's the game after the AI dust settles guiding the reps to be more magnetic, intuitive and consistent humans and I'm already obsessing over it. For example, I've been locked in on dropping body fat for the last 8 months. That commitment is specific. So the activity is specific... walking 10k steps daily, pickleball, lots of protein, working out 3x a week. The commitment defined the activity. Your AI strategy needs the same thing. Don't ONLY focus on freeing up time. Define what the freed time is FOR before you deploy the tools. Bookmark this... Come back in 6-8 months... I promise you the conversation on every sales floor will be: “How do I get my reps to think again and not talk like a robot?” The leaders who built the human muscle DURING the AI transformation won't have that problem. The question was never “how do we free up time.” The question is “what are we freeing it for?” If we can all answer that, we'll have a better sales community. P.S. Sales leaders... what's your team actually doing with the time AI is freeing up? I've been asking this at every event and nobody has a clear answer yet. Prove me wrong in the comments.",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,7,Morgan J Ingram,morganjingramamp,2026-06-09,2w,https://www.linkedin.com/posts/morganjingramamp_this-one-claude-prompt-replaced-3-hours-of-activity-7470114548918841344-Rm-6,https://www.linkedin.com/feed/update/urn:li:ugcPost:7470114379267534848,87,40,1,2172,text,False,False,sales training; AI/sales tech; events/keynotes,7470114548918841344,"This one Claude prompt replaced 3 hours of buyer research for every team I work with down to 5 minutes. I timed it.. so no lies here. So most of the teams that you coach and lead find a signal that says... ""I see your company just raised funding""... type stuff that every other rep is also saying. So I built a prompt that does the deep research in about 5 minutes. And I mean actually deep... not some fluff insight. I'm talking specific challenges tied to the role.... What buying signals happen within your inbound process.. Trigger events that signal buying readiness... Even the reasons they might resist your solution so your reps aren't blindsided on calls. Here's the prompt: ""You are a B2B intelligence expert with 20+ years of experience researching buyer personas and creating targeted messaging strategies. Conduct a deep dive on the following persona: [insert Persona] in [insert Industry]. Identify the top 3 pain points most relevant to this persona's role and business context in (current year). Look at my inbound conversations and find 3 correlation points. List 3 trigger events that typically create readiness to buy. Outline 3 reasons this persona might resist your solution. Ensure all output is practical, specific, and grounded in real-world B2B dynamics. Now explain this to me so I know you understand the process."" So.. I run this inside Claude as a project. That way the context stays loaded and every rep on the team can access it without re-entering the setup every time. But here's the part most people miss and it drives me crazy... Don't have your teams just copy and paste this.... Because AI doesn't know your buyer.... AI knows patterns about your buyer. ...The rep's job is to take that intelligence and make it HUMAN... to connect a dot the AI couldn't see. That's the workflow we build inside our program Sales Team Six. The teams using this workflow are starting more conversations because their messages sound like someone who actually studied the buyer. Not someone who prompted a bot and hit send. P.S. Anyone else have any cool AI workflow stories to share? P.S.S for longer form videos.. going to put my YT channel in comments.",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,8,Morgan J Ingram,morganjingramamp,2026-06-08,2w,https://www.linkedin.com/posts/morganjingramamp_after-a-decade-in-outbound-i-think-i-finally-activity-7469742943440916480-6ipi,https://www.linkedin.com/feed/update/urn:li:share:7469742940211331072,80,50,1,2325,image,True,False,LinkedIn/social selling; AI/sales tech; discovery/qualification,7469742943440916480,"After a decade in outbound I think I finally figured out what I actually believe. When I started my business in 2023 I thought the answer was just more content... Level up the content and everything follows.... Then AI hit and I got nervous. If I'm being honest I started wondering if SDRs were going to be completely eradicated. But then I watched what happened as people experienced AI. It's done an amazing job helping reps research in minutes, spot the right buyers faster, and move deals along. At the same time... it created numbness in the marketplace because everyone started sounding the same. And that's when it clicked. I kept telling sales teams ""be more human."" But that's too broad to actually teach. You could be a human and be dull to be fair. So here's what I actually mean: Magnetic: buyers want to keep talking to your reps because they feel the intent behind every message. Intuitive: when something goes off script they don't freeze. They read the room and connect the dots. Consistent: same energy... Same system.... Every single day.... Not just when quota is due. I call this the MIC method. And it's what I've built my entire business around at AMP Social. This isn't theory...My friend Jordan Lucas operates exactly like this and it's why he breaks into enterprise accounts. Sierra Arnold schedules 17 meetings a month off social selling alone. Trayco Ross sent 288 messages and booked 19 meetings with a 20% reply rate. That's what I was like wait a minute... content is amazing. AI is great. Yet the real unique advantage is doing all of that and having amazing SDRs who can stand out in a magnetic way. So no the function will still live on. Within 8-12 months every sales team will have AI agents finding the same insights with the click of a button.... The research is about to be commoditized. The only thing that will separate your team from every competitor is how your people show up. I don't pretend to know your business better than you.... But I know how to make your SDRs/AEs magnetic, intuitive, and consistent. That I can do. That's the mission at AMP Social. That's what Sales Team Six builds in our 4 month program. The AI will get better. But will your team? P.S. Question to ask yourself this morning.. are your reps magnetic, intuitive, and consistent...? or just busy to be busy",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,9,Morgan J Ingram,morganjingramamp,2026-06-07,2w,https://www.linkedin.com/posts/morganjingramamp_two-years-ago-i-looked-around-the-valley-activity-7469380328453943297-daxP,https://www.linkedin.com/feed/update/urn:li:share:7469380325358592000,119,29,0,1118,image,True,False,events/keynotes,7469380328453943297,"Two years ago I looked around the Valley and realized there were zero B2B sales events in Phoenix... So I got some friends together to create one. 50 people showed up and now we are running it back. The event is called Sunset Social. 🔥 Tom Slocum Brianna Doe and I started it because we were tired of the only way to meet people in B2B sales being through a Zoom screen. Plus I started to realize after going to a million events people rarely wanted to listen to the panels. They were craving humans connection and talking to actual people. As we done these events it's been amazing to see connections develop. People stayed hours past when it was supposed to end. Connections were made that turned into real business.. real friendships.. real community. I talk about URL to IRL a lot and this is where I practice what I preach. If you're a B2B sales leader, rep, or founder in the Valley and you want to be in a room with people who actually get it.. this is for you. Stop networking on a screen. Come connect in person. See you at the Sunset. P.S. Oh yeah... here is the link. Come join us. https://luma.com/hhm5x9ll",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
Morgan J Ingram,https://www.linkedin.com/in/morganjingramamp,15,10,Morgan J Ingram,morganjingramamp,2026-06-03,3w,https://www.linkedin.com/posts/morganjingramamp_i-believe-sdrae-teams-need-to-spend-less-activity-7467920464514809856-c-B8,https://www.linkedin.com/feed/update/urn:li:share:7467920461780176897,144,62,1,2196,text,False,False,AI/sales tech; events/keynotes; discovery/qualification,7467920464514809856,"I believe SDR/AE teams need to spend less time learning AI and way more time on business acumen. Yeah.. I said it. Again, I am pro AI yet you still need the skills to use it right. I spent the past few days talking to sales leaders at an event and the same question kept coming up.. ""Ok I get AI is here.. but what should I actually have my reps doing?"" And then I had a That's So Raven vision face. Leaders are telling me that they are watching SDRs/AEs copy and paste their AI research into a doc without understanding the context of what they even copied and pasted. Like.. have we lost the plot here? Look at this point AI is table stakes. We all get that it's here and we need to use it. Alright awesome. BUT if your team only knows how to use AI to copy and paste research WITHOUT connecting the dots to the actual business outcomes... you have a real problem. Within 8-12 months every sales team will have agents that find the same insights with the click of a button. Research is about to be commoditized. That leaves critical and creative thinking as a high value skill. So leaders think about your reps when they reach out to an account... 1. Do they understand how that business makes money? 2. Do they know why THIS specific person would want to respond? 3. Can they explain the AI output without reading a script? If the answer is no... all the AI research in the world has become worthless. You're giving your team better ingredients and nobody knows how to cook. The teams I provide outbound strategy to at AMP Social don't just collect observations from AI... they learn how to connect those observations to the buyer's world in a way that makes the outreach feel like it came from someone who actually understands. Like a real human. That's the skill... observation to connection... dots to insight... research to revenue. AI is going to make everyone faster. Business acumen is going to make your team magnetic, intuitive and consistent. Every sales team is about to have the same AI... the ones who win will be the ones who knew what to do with what the AI found. P.S. This is what we build inside Sales Team Six. Not more research. Better thinking. → https://theampsocial.com/",Coaching B2B sales teams to sound human in their outbound when everyone else sounds like AI | CEO @ AMP Social | SKO Speaker
