expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Richard Harris,https://www.linkedin.com/in/rharris415/,15,1,Richard Harris™,rharris415,2026-06-15,1w,https://www.linkedin.com/posts/rharris415_the-sales-lies-we-tell-ourselves-part-3-activity-7472271799649648642-oeLU,https://www.linkedin.com/feed/update/urn:li:share:7469665338356314112,12,13,0,1580,text,False,False,discovery/qualification; negotiation/closing,7472271799649648642,"The Sales Lies We Tell Ourselves Part 3 Believing “We lost to the competition” You didn't lose that deal to a competitor. You lost it because you weren’t multi-threaded. Your “champion”, was a cheerleader at best. Remember, champions don’t sign contracts. CEOs, CROs, Founders, this is the deal story nobody wants to tell. Your “champion” loved you. They were bought in. They were pushing internally. Until they went quiet. And you had nobody else. Bad or non-existent discovery with other departments affected by the decision. Bad or non-existent discovery with any skeptics. Bad or non-existent about competitors, pricing, and so much more. And it all comes down to No connection to the skeptics in the room. No visibility into whether the conversation was even still happening on their side. One person. One point of failure. One lost deal. Here's the uncomfortable truth: Your reps aren't losing to better products. They're losing because they're single-threaded and they don't even know it. The deals that close have three things in common: 1. Multiple stakeholders engaged 2. A clear champion with actual authority 3. Consistent activity across the account — not just one contact The deals that push or die have one: a rep who thinks a friendly contact equals a covered deal. This is exactly what Backstory.ai helps surface. Which accounts are single-threaded. Which champions have gone quiet. Which deals look fine in the CRM and are actually on fire. You can't fix what you can't see. And right now, most of you can't see it, or you simply refuse to acknowledge the issue.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,2,Richard Harris™,rharris415,2026-06-15,1w,https://www.linkedin.com/posts/rharris415_poor-crm-management-up-date-this-isnt-activity-7472211305446187008-k6Ur,https://www.linkedin.com/feed/update/urn:li:share:7471481971177627648,5,7,0,757,text,False,False,leadership/career,7472211305446187008,"Poor CRM management up date. This isn’t a CRM problem. This isn’t a rep problem. This is a leadership problem. There are enough tools out there to automate this. There are also tools that dive in and give you the right strategy suggestions. Failure to automate 100% of this as well as holding yourself and the team accountable is the ultimate issue. Does that mean PIPing and losing a rep for not following procedure, yeah, it does. Does it feel very micromanaging, yeah it does. Remember it’s the soft skills that are the hard skills for leaders. And in most cases leaders are promoted based on sales performance, not leadership qualities. So there’s this sort of”SDR Newbie” that leaders feel because nobody taught them how to manage people and a process.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,3,Richard Harris™,rharris415,2026-06-11,2w,https://www.linkedin.com/posts/rharris415_the-sales-lies-we-tell-ourselves-part-2-activity-7470822221721149440-3SMD,https://www.linkedin.com/feed/update/urn:li:share:7469664574510641152,9,9,0,1356,text,False,False,leadership/career; negotiation/closing,7470822221721149440,"The Sales Lies We Tell Ourselves Part 2 Believing “sales forecasts are a negotiation"" Most sales forecasts aren't a number. They're a dictatorship. CEOs, CROs, Founders — you already know this. You've sat in meeting after meeting where the number magically lands at exactly what the board wants to see. That's not forecasting. That's wishful thinking with a spreadsheet. Or as I like to call it, smoking hope-i-um Here's what's actually happening: Your forecast is a dictatorship. Deals that belong in the next quarter get forced into this one. Reps feel the pressure. They say what you want to hear because if they don’t you will think they aren’t team players. You report what the board wants to see. And then you miss. Again. And again. And again. The real problem isn't that your reps can't predict. It's that nobody trusts the data enough to tell the truth. Not the reps. Not the managers. Not you. Because the second someone tells the truth about a deal slipping, they become the problem. So everyone lies. And your forecast becomes a work of fiction that everyone pretends is real until the last two weeks of the quarter. So ask yourself this: When did you last look at your forecast and actually believe it? If you even had to think about that, there’s the proof By the way, the board knows you’re lying too. If only you had the complete backstory.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,4,Richard Harris™,rharris415,2026-06-10,2w,https://www.linkedin.com/posts/rharris415_laundris-saas-surfandsales-activity-7470468028619468801-1qUY,https://www.linkedin.com/feed/update/urn:li:share:7470468027860545537,14,5,0,337,repost,False,True,general sales/content,7470468028619468801,"This is just one example of what attending The Surf and Sales Summit does for people. It’s genuine and human. Life long friends and colleagues. Deals get done. Jobs are created and found. Personal breakthroughs happen. If you haven’t come, it’s time to change that. And no, you don’t have to know how to surf. You’ll be standing on Day 1","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,5,Richard Harris™,rharris415,2026-06-09,2w,https://www.linkedin.com/posts/rharris415_the-sales-lies-we-tell-ourselves-part-1-activity-7470097372149301249-3uS1,https://www.linkedin.com/feed/update/urn:li:share:7469661188826546176,14,18,1,1256,text,False,False,cold email; cold calling; pipeline/building demand,7470097372149301249,"The Sales Lies We Tell Ourselves Part 1 “We need more pipeline” More pipeline isn't your problem. Conversion is. CEOs, CROs, Founders... Just stop pouring money into more pipeline when you miss a number. You're not behind because you don't have enough leads. You're behind because you're accelerating the suck straight through your pipeline. Bad conversion doesn't get better with more volume. It simply compounds the suck-celleration! These are the answers you want, right? 1. Which deals are actually real? 2. Where is engagement dropping off? 3. Which reps are single-threaded with one contact and calling it a deal? You don't know. Because your CRM only shows what reps remembered to log. That's the problem backstory solves. It captures every email, meeting, and call automatically, and tells you which deals are at risk, why, and what to do before it's too late. Stop paying attention to only one part of the equation. You need to focus on both parts. What's your team's actual win rate on deals already in the pipeline from the moment a sales rep takes over the first call? I double dog dare you to drop it below. And then If you want to see what's actually happening in your pipeline and not what your reps remembered to log, check out backstory.ai","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,6,Richard Harris™,rharris415,2026-06-01,3w,https://www.linkedin.com/posts/rharris415_vibe-coding-is-the-new-pandemic-of-thats-activity-7467266042059395072-Ss6V,https://www.linkedin.com/feed/update/urn:li:share:7467266041492983808,10,3,0,498,text,False,False,general sales/content,7467266042059395072,"Vibe coding is the new pandemic of that's costing founders money. Tech founders, yes, you are smart, and you can probably build any tool or service you could buy. The issue is the economic impact it causes you by the distraction from your main mission which is make money. If you've already received funding, I can assure you, your VC's are more interested in you making money rather than letting it sit in the bank. Your success is based on how fast you get to revenue, how much you actually save.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,7,Richard Harris™,rharris415,2026-05-29,3w,https://www.linkedin.com/posts/rharris415_current-build-vs-buy-conundrums-1-build-activity-7466265874723737600-0oYE,https://www.linkedin.com/feed/update/urn:li:share:7464813319539896320,7,8,0,785,text,False,False,general sales/content,7466265874723737600,"Current build vs buy conundrums. 1. Build vs buy has always been a market place issue. Some will still build, some will still buy. 2. Just because you built it only proves they could probably do it too. Should they, is another topic entirely. 2. At the moment bigger companies will be more concerned with legal requirements around security, audits, data info, and such. 3. Trust in the vendor is a huge issue now. Bigger companies will also be concerned whether you’ll even be around in a year. 4. Smaller companies will try to build it. Technical founders will fall into the gap of building it because they want to prove they are smarter not realizing it’s a distraction from their primary goals of their own company. 5. A workflow solution is simply the feature of a bigger platform.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,8,Richard Harris™,rharris415,2026-05-29,4w,https://www.linkedin.com/posts/rharris415_the-surf-sales-summit-activity-7466128666679316481-jF9r,https://www.linkedin.com/feed/update/urn:li:share:7466128665521864707,25,12,0,1132,text,False,False,general sales/content,7466128666679316481,"We are regressing. Again. As usual, humans will revert to many of their less than stellar habits and I see it happening again. As we go through the latest wave 🌊 of technological advancement this one scares us. A lot. Worse than the financial crisis of 2008 Worse than the pandemic. Everyone is fearful of the unknown. And honestly, it’s ok, we are human after all. Sadly, with fear comes panic. With panic comes poor decision making. This is one of the reasons 🏄🏼‍♂️ Scott Leese, Jeff Coleman and I created #SurfandSales Its a place to disconnect from day to day. It’s a place to step back. It’s a place to breathe. It’s a place to reflect. It’s a place to connect with others who will become life long friends, mentors, find new job opportunities, and yes, learn some sales skills and life skills. It’s a place to reconnect with what’s important to you. You’ve heard about, you’ve put it on your bucket list, and now it’s time to invest in yourself. Love yourself more. Action speaks louder than words. We have over 100 alumni from around the world who can testify to all of this. What are you waiting for? https://lnkd.in/gHpFmQS","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,9,Richard Harris™,rharris415,2026-05-27,4w,https://www.linkedin.com/posts/rharris415_stop-asking-about-timeline-in-your-sales-activity-7465499571184476160-jP-p,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463653836352790528,28,12,0,139,text,False,False,general sales/content,7465499571184476160,"Stop asking about timeline in your sales conversations. At least stop asking about in the lame way you've been taught. Instead, try this...","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,10,Richard Harris™,rharris415,2026-05-26,4w,https://www.linkedin.com/posts/rharris415_there-is-one-thing-all-sales-leaders-love-activity-7465144832852668417-ro4p,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463653036020867072,6,0,0,81,text,False,False,general sales/content,7465144832852668417,"There is one thing all sales leaders love. In fact, I'd suggest all leaders love.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,11,Richard Harris™,rharris415,2026-05-25,1mo,https://www.linkedin.com/posts/rharris415_stop-asking-for-decision-makers-in-sales-activity-7464676661934993408-bhXI,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463652471266152448,9,3,0,446,text,False,False,general sales/content,7464676661934993408,Stop asking for decision makers in sales. They won't help you. Here's what you need to know... 1. Champions never sign contracts. At best they are the head cheerleader. 2. Even SMB sales have buying committees. - The End User Committee - The Tool Review Committee - The Tool Approval Committee - The Legal Committee - The Financial Committee Each has it's own leader and lead detractor. Ask for the skeptics. And the ultimate decision maker is...,"Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,12,Richard Harris™,rharris415,2026-05-25,1mo,https://www.linkedin.com/posts/rharris415_the-difference-in-sales-in-leadership-may-activity-7464669124133171200-NAQj,https://www.linkedin.com/feed/update/urn:li:share:7464105657022169088,4,2,0,146,text,False,False,leadership/career,7464669124133171200,The difference in sales in leadership may come down to simply this. Perspective is sharp. Assumptions are dull. Your brain is the shapening stone.,"Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,13,Richard Harris™,rharris415,2026-05-22,1mo,https://www.linkedin.com/posts/rharris415_what-if-i-told-you-to-stop-hiring-sales-people-activity-7463651323310317569-rkZH,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463650969285894144,7,2,0,68,text,False,False,general sales/content,7463651323310317569,What if I told you to stop hiring sales people for quota attainment?,"Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,14,Richard Harris™,rharris415,2026-05-21,1mo,https://www.linkedin.com/posts/rharris415_dumbest-things-i-have-seen-sales-leaders-activity-7463292416540848128-NsNo,https://www.linkedin.com/feed/update/urn:li:share:7463292415077130240,87,96,0,613,text,False,False,LinkedIn/social selling; pipeline/building demand; leadership/career,7463292416540848128,"Dumbest things I have seen sales leaders post on LinkedIn in the last few weeks. And sadly, some of these people have thoughts and opinions I deeply respect. 1. Specifically saying they would only date someone with 6-pack abs. - 🍻🍻 🍻 2. I've been doing this long enough to know there is no karma. Folks do awful things and do just fine. - 🙄 3. I watched a baggage handler smile at a crying child today. That’s when I realized… pipeline reviews are about empathy - 🤦‍♂️ 4. The one word for sales leadership in 2026 - Uncertainty - 🤷‍♂️ 5. Personal hygiene tips including telling people to ""wash down there"" - 🙉 🙈 🙊","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
Richard Harris,https://www.linkedin.com/in/rharris415/,15,15,Richard Harris™,rharris415,2026-05-19,1mo,https://www.linkedin.com/posts/rharris415_just-walked-onto-a-sales-floor-and-the-top-activity-7462493684198957056-9mbG,https://www.linkedin.com/feed/update/urn:li:share:7462493683658178560,202,22,1,342,text,False,False,cold calling,7462493684198957056,"Just walked onto a sales floor and the top enterprise ae is making cold calls before 8:30am. It’s not hard. It’s not complex. Straight up suggested why it might benefit them, and kept it that simple. No gimmicky pick up lines. No ae is to busy to make cold calls, ever. Oh, and this person, set 2 meetings in 20 minutes. This what winners do.","Award Winning Sales Trainer / Best Selling Author/ Sales Coach / 5xSalesforce Sales Leader to Follow / Teaching revenue teams how to #EarnTheRight to ask questions, which questions to ask, and when."
