expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,1,Samantha McKenna,samsalesli,2026-06-26,3h,https://www.linkedin.com/posts/samsalesli_samsales-samsales-samsales-activity-7476288349184434176-rpgx,https://www.linkedin.com/feed/update/urn:li:share:7476288347787689984,48,24,3,565,image,True,False,events/keynotes,7476288349184434176,"Thrilled to be asked back by Revenue Brew, an arm of Morning Brew, for this event @ Rockefeller Center in NYC! I'll be kicking the morning off with the event's keynote, and will facilitate a chat with my dear friend and four-time client of #samsales, Kenny Scannell, Chief Revenue Officer of Otter.ai. You can find the details to join us here and use code SamSales (with caps) for 50% off your ticket - https://lnkd.in/eMNANsWw Now the second most important question: should #samsales host a happy hour the night before and where in the city should it be? #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,2,Samantha McKenna,samsalesli,2026-06-25,1d,https://www.linkedin.com/posts/samsalesli_samsales-activity-7475893665782009856-Csn_,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475893663827439617,184,62,0,1531,image,True,False,events/keynotes,7475893665782009856,"This week, I was honored to be the keynote for Gusto’s President’s Club in Cancun! A first for me and such a cool idea to give to their top performers. A few things I loved: - In addition to the larger Penny’s Club winners, this was their first time celebrating Penny’s Circle winners, who are 4x Club winners or top of their categories for last fiscal. - They created a market full of local goods and surprised each attendee with $150 to spend. - We facilitated a discussion with a handful of the winners to share super specific tactics on what made them successful this year. “Maintaining the BDR mindset” was a favorite share. - We agreed someone would corral those notes and host a webinar for all sellers to learn from what was shared. - One of their core values is Debate and Commit. Let’s debate change, perspective, etc and then commit to the plan moving forward. Such an awesome way to be heard and then problem solve an action plan. - The swag, the sweet gifts delivered to the room, and all the thoughtful words shared about their peers, their bosses, and the unseen work the leaders do each day. The authentcity and positive culture can really be felt, and not just in this room of gleeful top performers. I am a Gustomer, as is the lingo, and have had such a positive experience with the platform and service - was a full circle moment to be here. Congrats to all the winners - thanks for making me feel so welcome, and to our planning partners for being impossibly lovely to work with these last few months! #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,3,Samantha McKenna,samsalesli,2026-06-24,1d,https://www.linkedin.com/posts/samsalesli_samsales-activity-7475640757425565696-w2el,https://www.linkedin.com/feed/update/urn:li:share:7475640754695081984,114,45,0,933,text,False,False,general sales/content,7475640757425565696,"The easiest way to get promoted isn't by doing good work and hoping you're seen. It's by having this conversation with your boss, their skip-level, and a peer or two: ""My hope is to be considered for xyz role when another one opens, and I'd be grateful for your feedback. Do you think I'm ready for the role now, or are their skill set gaps I can be working on over the next year to ensure I have the best shot at it? What can I do today to make sure I'm as strong of a candidate as I can be?"" Speak early and loudly about your goals, be open to what you have to work on, and ensure your sponsors and mentors are looped in, too, so they can keep their ears out and advocate for you as well. Bonus: you may not like or even trust the feedback you get from your leader, which is why those mentors and sponsors are key. They can either give you more grounded advice, or reinforce what you received, even if you didn't like it. #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,4,Samantha McKenna,samsalesli,2026-06-23,3d,https://www.linkedin.com/posts/samsalesli_samsales-grammarlypartner-activity-7475209916199235585-XrPa,https://www.linkedin.com/feed/update/urn:li:share:7475209915523895296,55,34,0,1181,text,False,False,cold email; pipeline/building demand; leadership/career,7475209916199235585,"Chuck: Sam, you're amazing at demand generation! Sam: mmm...mmmhmm... (Googles: what...is...demand...generation...) In the early days of my career, I heard terms like the above that made no sense to me, as well as: EBIDTA Run rate Ratable ACV, NRR, TCV, MRR, you down with OPP? wait...I got distracted Infosec Cancellation for convenience SPIF Tranche deal LTV:CAC SQL, MQL, SAL, You get it. If you find yourself in the same spot, and with a ton of that language being specific to how you sell, check out how this small Grammarly tip you can use: Take the email you have drafted, drop it into Grammarly, and just ask: ""Does this make sense for the buyer persona or what can I add/recraft?"" ""I wrote this but want it to resonate with the CMO of this org - can you refine it for me?"" ""This feels like it was written at a 3rd grade level, can you level up the executive presence of it but without words that are casually used in business?"" What I love about the outcome is that I learn my new terminology, I make sure the content is right for my buyers, and Grammarly refines the text to help me think of how to level up one of my favorite things: writing. #samsales #GrammarlyPartner","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,5,Samantha McKenna,samsalesli,2026-06-18,1w,https://www.linkedin.com/posts/samsalesli_samsales-samsales-activity-7473352808277184513-v4R0,https://www.linkedin.com/feed/update/urn:li:share:7473352807115337728,257,76,0,1073,image,True,False,leadership/career,7473352808277184513,"To the left of the Zoom screen I stare into every day are the final touches of my office coming together and full of sentimentality. Pictures of my mom and dad, and some of my favorite humans Awards won from over the years Wine and champagne bottles that were gifts for moments in my career Books I love + an Emily Post one given to me by my dear friend Jenna Pictures my grandmother painted of old family homes + her modeling for Dior when she was young A piece of art I splurged on during a solo trip to London, shortly after launching #samsales in 2019 Mementos of inside jokes like a corn candle (don't ask) and tiaras My Harry and Lloyd pop art figures - may I never grow up The grass cloth wallpaper and drapes bring me joy every day, too! And then there's the fluffy pile of mashed potatoes at the bottom left who races into my office every morning with the speed of ""did a hot inbound lead just arrive?!"", and promptly passes out all day. I love the messy sentimental chaos of it all. A little glimpse into what you can't see just outside the Zoom view. 🥰 #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,6,Samantha McKenna,samsalesli,2026-06-17,1w,https://www.linkedin.com/posts/samsalesli_samsales-activity-7473057241894465536-WnYb,https://www.linkedin.com/feed/update/urn:li:share:7473057239117832192,199,57,2,1456,text,False,False,sales training; leadership/career; discovery/qualification,7473057241894465536,"I met my husband's friends for the first time in 2016 at a party. A BOLD choice for a third date, but I digress... We left and Ryan said, ""They LOVED you!"" As peachy as I occasionally am, I said, ""I know why - it's because I spent the night getting to know them and asking questions about their lives."" It's a super power of mine and while occasionally alarming to some, my love of asking questions has served me in my personal life, but so much so in sales. NPR did a great bit on the likeability of people who ask questions, but... ...how they are exponentially more likeable if they ask active listening questions. And, Forrester found that the number one thing B2B buyers want from their sellers is: Active listeners. Someone who asks a question, truly listens, and asks another based on the answer they heard (read: not one that is self-serving or qualifying). So, if we know that asking active listening questions makes us more likeable, and that people buy from people they like, more often than not, it's a home run for all our sellers. But the question is: where does it stack up on our training priorities? And have you considered the generational changes in how a 23 yr old communicates vs. a 53 yr old? It may come naturally to one and feel invasive to another. Seller, BDR, accountant, wealth manager, CSM...we can level up every person that engages with our buyers with just one tweak, and by teaching the art of great conversation. #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,7,Samantha McKenna,samsalesli,2026-06-16,1w,https://www.linkedin.com/posts/samsalesli_samsales-lieb-activity-7472733454447656960-qif4,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472733284138131457,74,27,0,2240,text,False,False,events/keynotes,7472733454447656960,"Why does a post with 50 likes get 10,000 impressions but one with 300 gets 5,000, and what's a critical practice we run for our LI Exec Branding clients with the former? The Math: Take your impressions and divide them by your likes. The output = your Dark Social Score. Baseline benchmark = 40 Our standard aim = 50 Dark Social optimal traction = 70 (and any nominal increase over that) 10,000 impressions / 50 likes = 200 DSS 🔥 5,000 impressions / 300 likes = 16 DSS 😢 So, why this disparity? It's in the type of post you share. The former tends to be pieces of content that shared something tactical, inspiring, actionable. The latter tends to be celebratory. The former gets lifted off of LI and shared in texts, Slack, etc. People show up (impression), read, look at your profile, and leave, all without engaging (hence the disparity). The latter is your network celebrating you which is why your engagement is high and impressions are low. ******************************* Why Dark Social Matters: You show up here for a reason: brand awareness. Most clients come to us to solve a few challenges: - Their company or CXOs are relatively unknown - Everyone knows their organization exists, but they're a large, faceless brand - They're working to be the thought leaders of their categories - the ones turned to each time by journalists and conference organizers. They show up to teach and for reach, and when that DSS sky rockets, it tells you that this is what your market is interested in, which is a data point to capitalize on. ******************************** The CRITICAL step to capitalizing on your posts and DSS: Operationalizing the GTM motions of your executives' brands. Here's one of a dozen plays we run: systemize the review of your profile views each week, and connect with bespoke messaging to the 2nd and 3rd degree connections that are in your target ICP. Not only will you systematically grow your network but you'll remove the gate that stood between them seeing your content the first time, you'll up the chances of them seeing the content again, and you'll create a drip campaign of content that they'll one day engage with, and will be seen by their network, full of people who look just like them. #samsales #LIEB","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,8,Samantha McKenna,samsalesli,2026-06-15,1w,https://www.linkedin.com/posts/samsalesli_samsales-activity-7472334363393720321-hIrt,https://www.linkedin.com/feed/update/urn:li:share:7472334360692731904,98,46,0,1558,text,False,False,discovery/qualification,7472334363393720321,"Self-deprecating humor is something we know, but what about the self-deprecating postscript that builds client relationships and might even help you get promoted faster? Here's what I mean. When I make a mistake, you'll usually find me adding one extra layer that says, ""I know better."" Sam: Can we meet at 1pm or 2pmET? Buyer: Sure, what day though? Sam: Ah, the date would be helpful, wouldn't it... :) Does Tuesday work?* Boss: Can you shoot me the deck for tomorrow? Sam: You bet, attached! Boss: It has someone else's logo on it...? Sam: Ah, thanks for the catch! Let me sweep the slides and make sure it's buttoned up - that would have been impossibly embarrassing.* The normal answers I see are: ""Would Tuesday work?"" without acknowledgement of the missed detail. It's small, but communicates volumes when not acknowledged. and ""Fixed!"" without acknowledgement that sending a deck with typos is sloppy or without proactively communicating the extra attention to detail. When we skip that postscript, we communicate the wrong thing about ourselves, which is that we didn't know better, don't respect the person's time, or don't see the problem, none of which is something we want our leader or buyers to think. Our buyers' trust will erode quickly. Our leaders will feel the need to address basic professionalism in our 1:1 Instead, add the extra line, build humor in when you can, and triple check the work in the future. We all make 100 mistakes a day - it's what we do and how we proactively communicate afterwards that makes us different. #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,9,Samantha McKenna,samsalesli,2026-06-12,2w,https://www.linkedin.com/posts/samsalesli_samsales-activity-7471206494529748993-WMW2,https://www.linkedin.com/feed/update/urn:li:share:7471206492629753856,107,40,0,2074,text,False,False,cold email; referrals; discovery/qualification,7471206494529748993,"Someone referred us a lead this week, an intro over email to a buyer who could use our services. Here's the exact playbook I use to level up what everyone on that email expects: 1. Urgency - while I can't always do it, I try to reply to the buyer before they reply to me. 2. Two seconds of Show Me You Know Me first - who are they, who do we know, have they worked for clients*, where do they live, what have they posted about, how can I connect with them better in my reply. *If they know other people who have hired us, I'm prioritizing that for additional creditability 3. My reply structure: Thanks to the introductions Some SMYKM notes/connections Happy to find time - send me some dates/time (no calendar link, court them) Thanks again to the referral, say I'm moving referrer to bcc* *Sometimes reps only reply to the buyer, which leaves your referrer in the dark (and annoyed). I also like to thank them twice in the email vs. just at the top + ""moving you to BCC"" which feels a little rushed/greedy, IMO. 4. BCC myself on the email - not everyone replies and sometimes we need a follow up nudge. I don't want the opp to fall through the cracks, and this isn't an email I send as part of a cadence. 4. Another thank you email to the referral source under separate cover. ""Really appreciate you thinking of us and sticking your neck out for us..."" 5. An update to the referrer as things progress. This can be once mid-way if it's a larger ENT deal that will take time, or only at the end when you win/lose, if a short sales cycle. Closing the loop speaks volumes here. 6. If we win the deal, we're sending a handwritten note to the referrer or a gift that...you guessed it...Show Me You Know Me's them. It doesn't need to cost much - a book goes a long way - but it's one extra touch of gratitude for revenue you wouldn't have had without them. All of these steps are important for not only mapping you out as a completely different kind of seller, but of proving to the referrer that they can continue to gamble their reputation on you with more referrals. #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
Sam McKenna,https://www.linkedin.com/in/samsalesli,15,10,Samantha McKenna,samsalesli,2026-06-11,2w,https://www.linkedin.com/posts/samsalesli_samsales-activity-7470894373103304704-M-OU,https://www.linkedin.com/feed/update/urn:li:share:7470533512585117697,84,26,1,2297,text,False,False,cold email; sales training; events/keynotes,7470894373103304704,"One of my favorite workshops we run is all around ghosting in the sales cycle. Here are two examples of what we recently uncovered and how you can run your own. How To: Limit the sessions to eight reps Each one brings a deal that's stalled They bring the emails they sent, the history, the call notes We dissect it all and tell you why they likely ghosted, how to course-correct for next time, and what to do now to at least get a reply. Bonus: run this for your team, but invite two peer leaders to do the dissecting. You'll be amazed what a different perspective can bring. Two recent scenarios: 1. A client sent a Show Me You Know Me email. Two weeks later, they followed up to ask for time. The response: No, I'm on PTO these next two weeks. The takeaways: - Email two should never come that late. <48 hours after email one. - I asked if they'd noticed the time stamp of the reply. It was about an hour after the second email went out. - The rep's leader was recently at an event with the buyer's leader Imagine if we'd caught this sooner. Imagine if email two had gone out 44 hours later, if the buyer had replied in the same time window. We'd potentially have gotten the meeting before PTO, started the process, and have gotten details the leaders could have discussed at the event rather than still working to book time in. 2. A buyer showed interest in a platform. Rep replies, feature-dumps, silence in return. The ""just following up"" emails ensue, and now we're stuck. The easiest way to get unstuck here is to simply own the mistake with a script like this: Mark, I fear I didn't do justice to how our platform can help, mostly because I wrote you an email telling you what we do vs. what we solve. For your specific use case, here are three challenges I can help you with... If the window hasn't closed to win your business, I know I can make great use of your time, and would so appreciate the consideration. The reply? ""Your self-awareness won me over, and I was candidly stuck because your competition wrote me almost the same first email you did. Happy to make time to talk."" Small incremental catches and changes can impact deals, but the best part is that coaching to this nitty gritty stuff will them impact every other motion that rep, and those listening, will take. #samsales","Founder @ #samsales l Sales + Cadences + Executive Branding on LinkedIn l Ex-LinkedIn l Keynote Speaker l 13 Sales Records l Early Stage Investor l Overly Enthusiastic l Swiss Dual Citizen l Creator, Show Me You Know Me®"
