expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,1,Thibaut Souyris,thibautsouyris,2026-06-26,10h,https://www.linkedin.com/posts/thibautsouyris_6580-impressions-per-character-by-far-activity-7476206864515534848-x-0b,https://www.linkedin.com/feed/update/urn:li:share:7476206863575941120,24,9,1,109,image,True,False,LinkedIn/social selling,7476206864515534848,"6,580 impressions per character. By far the most I've ever had! Dropping a $99 course on LinkedIn growth asap","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,2,Thibaut Souyris,thibautsouyris,2026-06-25,1d,https://www.linkedin.com/posts/thibautsouyris_i-met-20-creators-in-person-in-the-past-activity-7475880844096634881-CyeB,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475880842536390656,34,16,1,2418,image,True,False,general sales/content,7475880844096634881,"I met 20+ Creators in person in the past 2 weeks. They all said a variation of the same thing: ""We want to spend more time with other creators, in person."" I spend most of my time working from home, in San Miguel de Allende, Mexico. And the opportunities to meet my creators in person are incredibly rare. In July 2025, I organized a Sales Creator Content Party, and it was the starting point of The Sales Creator Collective. And after a bit less than a year, I feel like we don't have enough opportunities for our community to meet, exchange, and learn. That's why I'm working on the first Creator Summit in Mexico City! The concept is simple: 2 days in person event in CDMX for around 100 people. Here's what I'm thinking of: Day 1: Brand Content The first day will be dedicated to creating content for brands with creators we have matched for them. We'll create long-form assets, with usage rights and distribution on the creators channels. Evening 1: Invite-only creator dinner After a busy day of recording, we’ll head to a private location to relax and discover what Mexican hospitality is all about. I’m thinking of an intimate setting with around 30 people max. The goal is to create a moment of intimate conversations so creators and selected brands can spend some time building stronger relationships. Day 2: Masterclasses Day 2 will be all about sharing knowledge in a structured setup. I’m thinking of inviting creators who are incredibly successful in their niche so they can share their experience in a structured masterclass format or a fireside chat setup. The goal is to help established creators share their knowledge with Emerging Creators who will have purchased a ticket to join the event. Evening 2: Mexico City Night Out After the masterclass event is over, we’ll throw a networking mixer and take the crowd for a crazy night out in Mexico City. I’m thinking sunset rooftop, speakeasy jazz/latino club, and after hours tacos. We’ll give recommendations for places to go for recovering the morning after 😂 What I need from my audience: - if you're a brand and want to sponsor this event, send me a DM - if you're a creator and you want to join, tell me in the comments - if you're not a creator but you'd like to purchase a ticket, tag someone you'd like to come with and I'll share an early bird code for the both of you. In terms of dates, I'm thinking late October, early November. Who's down?","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,3,Thibaut Souyris,thibautsouyris,2026-06-24,2d,https://www.linkedin.com/posts/thibautsouyris_activity-7475525661319876609--EOY,https://www.linkedin.com/feed/update/urn:li:share:7474751408324575234,77,76,1,3,image,True,False,general sales/content,7475525661319876609,...,"The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,4,Thibaut Souyris,thibautsouyris,2026-06-23,3d,https://www.linkedin.com/posts/thibautsouyris_i-spent-last-thursday-in-barcelona-with-4-activity-7475108627880751104-s8Fr,https://www.linkedin.com/feed/update/urn:li:share:7475108626828017665,48,63,2,992,image,True,False,LinkedIn/social selling,7475108627880751104,"I spent last Thursday in Barcelona with 4 sales creators. They are all saying the same thing: It takes around 10 days for their posts to reach their full impression potential. For years, LinkedIn posts were all about early traction. If you could get a ton of comments and reactions in the first 30 - 60 minutes after posting, you'd be guaranteed to have a viral post. In June 2026, this tactic doesn't work anymore. No matter how much engagement I get early on, I barely get over 2,000 impressions in the first 24 hours after I post. But if I go back 10 days later, some of my posts get 5X the impressions I got in the first 24 hours. And it's something I've seen for almost all the creators I represent. My assumption? LinkedIn is actively fighting engagement pods and completely killing early virality. And I think it's a great thing. Your content gets distributed over 10 days, and you go from a 24 hours window of opportunity to a 10 days window. What do you think? Any other explanation?","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,5,Thibaut Souyris,thibautsouyris,2026-06-22,4d,https://www.linkedin.com/posts/thibautsouyris_every-time-i-feel-fomo-about-cannes-i-look-activity-7474748921978798080-ZcXj,https://www.linkedin.com/feed/update/urn:li:share:7474748921035173889,32,25,1,86,image,True,False,general sales/content,7474748921978798080,"Every time I feel FOMO about Cannes, I look at my Weather app. Glad I'm staying home 😂","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,6,Thibaut Souyris,thibautsouyris,2026-06-19,1w,https://www.linkedin.com/posts/thibautsouyris_barcelona-in-the-books-yesterday-i-drove-activity-7473719377268387840-RmAM,https://www.linkedin.com/feed/update/urn:li:ugcPost:7473719376072933377,53,14,1,852,image,True,False,LinkedIn/social selling,7473719377268387840,"Barcelona in the books! Yesterday I drove from South of France to Barcelona to meet people I knew from LinkedIn but never met in person (except Alan Ruchtein)! We had lunch and spent the afternoon walking around Barcelona and brainstorming with Andrei Zinkevich! Then we met with Alan Ruchtein, Christian Krause, and Kevin Meyer for a fantastic Argentinian dinner. This kind of moment really makes my job incredibly rewarding. I spend most of my year working from Mexico behind my keyboard, but the opportunities to meet with fellow creators are rare. And at the end of this day, I came to a simple conclusion: hanging out in person is what people want. We're more connected than ever, but we tend to be physically isolated from the creator community. Yesterday was a wake up call for me. We need to create spaces and traditions that bring us together!","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,7,Thibaut Souyris,thibautsouyris,2026-06-18,1w,https://www.linkedin.com/posts/thibautsouyris_i-met-so-many-great-people-i-would-have-never-activity-7473351317130997760--FBb,https://www.linkedin.com/feed/update/urn:li:share:7472914452594720768,22,23,1,868,image,True,False,LinkedIn/social selling,7473351317130997760,"I met so many great people I would have never met if it wasn't for LinkedIn. In December 2019, I decided to start posting content on LinkedIn. Every weekday since that date, I shared a post (almost 7 years of daily posting). This exercise helped me structure my thoughts, build in public, and become a Top Voice in the process. But the most important thing it did for me was to create a massive brand recognition among my peers. When I go to an event, I get stopped all the time by people who have been following my adventures for years. Michael Rap is one of them. I had never had a conversation with him in person before last week, but I got to hang out with him at Revenue Royale and I felt like meeting an old friend. Most of my professional life is spent online, but meeting great people in person is the real reward for all that work. Michael, loved meeting you!","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,8,Thibaut Souyris,thibautsouyris,2026-06-17,1w,https://www.linkedin.com/posts/thibautsouyris_why-your-linkedin-creator-campaign-failed-activity-7472988965357359104-klZv,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472912751489785856,26,19,1,1014,document,False,False,general sales/content,7472988965357359104,"I've been running campaigns with 60+ brands since September 2025. Some of them were great, some of them were terrible, but most of them were in between. Not great, not bad. But a lot of missed opportunities to convert real influence from the content created by our creators into real money. Most brands start thinking about working with creators when they do a launch. They scramble to source creators, ask them for a one-off post, pay $30,000+ for the campaign and get limited results. With this budget size, it doesn't work. Instead, my honest recommendation is to spend this $30,000 over 3 months with 5 to 10 creators. You get them to post once a month to amplify your launch, and you evaluate who are the ones who qualify as brand ambassadors so you can renew them. This reduces your risk and creators would rather accept a bit less money for a longer commitment than just a one off. I did a whole presentation on that topic last week at Revenue Royale. Go check it here and tag someone who needs to see this.","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,9,Thibaut Souyris,thibautsouyris,2026-06-16,1w,https://www.linkedin.com/posts/thibautsouyris_im-on-my-way-to-making-12m-in-revenues-activity-7472626178474835968-RcGy,https://www.linkedin.com/feed/update/urn:li:share:7472619027266248704,31,25,1,1255,image,True,False,LinkedIn/social selling,7472626178474835968,"I'm on my way to making $1.2M in revenues in 2026. Last year, I made less than $80,000. My goal is to build a $10M business in 10 years (25% growth every year). I know for a fact that I won't get to $10M by doing what I'm doing right now. And one of the growth tactics I'm exploring is to build a completely different offering for brands we're working with. Right now we run simple campaigns. 1 LinkedIn post per month for 3 to 6 months and an additional platform if it makes sense. Brings good money, easy to sell, but very limited in terms of impact. So last week, we had a chat with one of my MVPs, Edvin Vosylius, and he gave me a really good idea. Why don't we build a complete offering for brands that includes the best creators of my rosters, and get them to collaborate on something unique. Some ideas include: - a content retreat with 5 to 10 big names to shoot a ton of content and collabs - push this content to the creators' audiences - get usage rights for brands to create whitelisted ads I have a million ideas, but I need some people to explore these ideas with me. So if you're a brand and you're looking for a way to stand out when working with influencers, I want to chat with you. Drop me a DM or tag someone you think should see that.","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
Thibaut Souyris,https://www.linkedin.com/in/thibautsouyris,15,10,Thibaut Souyris,thibautsouyris,2026-06-15,1w,https://www.linkedin.com/posts/thibautsouyris_last-thursday-i-ran-my-first-in-person-workshop-activity-7472235539325190144-GKjP,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472235538029191168,96,42,2,1081,image,True,False,sales training,7472235539325190144,"Last Thursday I ran my first in-person workshop in more than a year. I was invited by Dominic Klingberg and Julius Göllner to share some insights about the B2B influence campaigns we've been running at The Sales Creator Collective. And I realized how much I missed being around people in my niche. Every day I have dozens of conversations with my creators, and with brands, but all of these conversations are online. Getting to hang out with other professionals who just get it is another level of energy. Right after the workshop, I had lunch with Edvin Vosylius and it was one of the nicest business conversations I had in months. Then we headed to the Revenue Royale gala with my team of creators and we had such a great time. It made me want more moments like that in my career. I want to spend more time around my creators so I can feel that energy. Love meeting the crew last week: - Ada Beltrán - Jan Benedikt Mundorf - Patrick Trümpi - Dariia Gerasymova - Mafalda Johannsen - Adriana López - Sebastian Zumbühl - John Attar - Edvin Vosylius - Emre Aksu Next stop: Barcelona!","The Sales Creator Agent | I help Sales Creators find, negotiate, and close brand partnerships"
