expert,slug,company,channel_name,channel_url,video_id,title,url,source_type,duration,upload_date
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,https://www.youtube.com/@AhrefsCom/videos,uza9GX0E2mw,AI SEO Course for Beginners: Complete AEO Tutorial,https://www.youtube.com/watch?v=uza9GX0E2mw,channel_recent,5216.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,https://www.youtube.com/@AhrefsCom/videos,rGdR1KC6O2s,I Used AI Agents to Replace Our Marketing Agency,https://www.youtube.com/watch?v=rGdR1KC6O2s,channel_recent,686.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,https://www.youtube.com/@AhrefsCom/videos,Xq9qD7Xl5Ps,Why I Switched from ChatGPT to Claude,https://www.youtube.com/watch?v=Xq9qD7Xl5Ps,channel_recent,776.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,https://www.youtube.com/@AhrefsCom/videos,W6ofmUbVr6M,This AI Tool Generates Viral Thumbnails (Prompts Included),https://www.youtube.com/watch?v=W6ofmUbVr6M,channel_recent,668.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,https://www.youtube.com/@AhrefsCom/videos,Y_QrXGeNfQU,Your AEO Strategy + Action Plan Checklist | 4.2. AEO Course by Ahrefs,https://www.youtube.com/watch?v=Y_QrXGeNfQU,channel_recent,474.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,https://www.youtube.com/channel/UCTvgSAxisCh58hjzlMdED0A/videos,JMbRFcQobHU,What a Real AI Business Looks Like (No Hype),https://www.youtube.com/watch?v=JMbRFcQobHU,channel_recent,2873.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,https://www.youtube.com/channel/UCTvgSAxisCh58hjzlMdED0A/videos,NY5kJfMQ5bk,What Actually Changed In Claude Opus 4.8,https://www.youtube.com/watch?v=NY5kJfMQ5bk,channel_recent,2470.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,https://www.youtube.com/channel/UCTvgSAxisCh58hjzlMdED0A/videos,OYJa8XPd210,5 Months Of Claude Code (As A Business Owner),https://www.youtube.com/watch?v=OYJa8XPd210,channel_recent,3019.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,https://www.youtube.com/channel/UCTvgSAxisCh58hjzlMdED0A/videos,RvKOqDnaaI4,GPT-5.5 vs Claude: I Switched For 7 Days,https://www.youtube.com/watch?v=RvKOqDnaaI4,channel_recent,3649.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,https://www.youtube.com/channel/UCTvgSAxisCh58hjzlMdED0A/videos,HFYMVRbVuYY,We Just Tested ChatGPT Image 2,https://www.youtube.com/watch?v=HFYMVRbVuYY,channel_recent,3368.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,https://www.youtube.com/channel/UCrE83mimEwjAELfoby63ScQ/videos,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era I Ft. Ross Simmonds & Sam Garg",https://www.youtube.com/watch?v=du26Ywa-CtA,channel_recent,3482.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,https://www.youtube.com/channel/UCrE83mimEwjAELfoby63ScQ/videos,h3850aaD_LM,Getting Started with Writesonic AI Search (GEO Dashboard Tour),https://www.youtube.com/watch?v=h3850aaD_LM,channel_recent,851.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,https://www.youtube.com/channel/UCrE83mimEwjAELfoby63ScQ/videos,Eldn4PABl-k,ChatGPT Just Became a Paid Ad Platform Overnight. Here's What Marketers Must Do Right Now!,https://www.youtube.com/watch?v=Eldn4PABl-k,channel_recent,343.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,https://www.youtube.com/channel/UCrE83mimEwjAELfoby63ScQ/videos,_udNpKV7_DQ,Is Your SEO Outdated? 5 Crucial Steps for 2026 Success,https://www.youtube.com/watch?v=_udNpKV7_DQ,channel_recent,558.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,https://www.youtube.com/channel/UCrE83mimEwjAELfoby63ScQ/videos,dkd3ydw9iH0,Organic Marketing in the Age of AI Search | Krista Doyle (Fan Out) × Samanyou Garg (Writesonic),https://www.youtube.com/watch?v=dkd3ydw9iH0,channel_recent,3455.0,
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,https://www.youtube.com/@Clearscope/videos,qN57vJns8ls,"The ""Fast-Forward"" Button for Content Optimization: Boost Content Grade",https://www.youtube.com/watch?v=qN57vJns8ls,channel_recent,173.0,
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,https://www.youtube.com/@Clearscope/videos,RMg2eTZL7Jk,"How To Do AEO (prompt research, query fan out, content): Live Session w/ Bernard Huang (Clearscope)",https://www.youtube.com/watch?v=RMg2eTZL7Jk,channel_recent,3583.0,
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,https://www.youtube.com/@Clearscope/videos,0tV2ewk-9rs,How to Reverse Engineer the Prompts Your Customers Actually Use,https://www.youtube.com/watch?v=0tV2ewk-9rs,channel_recent,345.0,
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,https://www.youtube.com/@Clearscope/videos,c-VtgjXWsK4,"The Future of Search (SEO, AI SEO, AEO, GEO) with Lily Ray, Kevin Indig, Ross Hudgens, Steve Toth",https://www.youtube.com/watch?v=c-VtgjXWsK4,channel_recent,3767.0,
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,https://www.youtube.com/@Clearscope/videos,zUF4GSA_XUw,"Why ""Prompt Tracking"" is the New Rank Tracking (And How to Start)",https://www.youtube.com/watch?v=zUF4GSA_XUw,channel_recent,422.0,
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,https://www.youtube.com/@SiegeMedia/videos,or2QWt5Sw9A,Inside HubSpot's Category-Leading GEO Program w/ Aja Frost,https://www.youtube.com/watch?v=or2QWt5Sw9A,channel_recent,3381.0,
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,https://www.youtube.com/@SiegeMedia/videos,MTBIMRF1DLE,What Your CMO Needs to Know About AI Search w/ Tom Critchlow,https://www.youtube.com/watch?v=MTBIMRF1DLE,channel_recent,3502.0,
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,https://www.youtube.com/@SiegeMedia/videos,DSU67DOqljY,Eli Schwartz on Google’s GEO Advice and SEO Careers Today,https://www.youtube.com/watch?v=DSU67DOqljY,channel_recent,3937.0,
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,https://www.youtube.com/@SiegeMedia/videos,DKAGf2lk488,"Lily Ray on AI Slop, GEO, and What Actually Works",https://www.youtube.com/watch?v=DKAGf2lk488,channel_recent,2766.0,
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,https://www.youtube.com/@SiegeMedia/videos,QGqd9Ck0PI4,Is Content Syndication Worth It? w/ Stacker's Noah Greenberg,https://www.youtube.com/watch?v=QGqd9Ck0PI4,channel_recent,2421.0,
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,https://www.youtube.com/@Indexsy/videos,DPJErHAz38A,He Dropped His SEO Guy and the Rankings Instantly Tanked,https://www.youtube.com/watch?v=DPJErHAz38A,channel_recent,3160.0,
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,https://www.youtube.com/@Indexsy/videos,gauZh-k8BIg,"The Only Local SEO Course You Need in 2026 ($2,000 VALUE)",https://www.youtube.com/watch?v=gauZh-k8BIg,channel_recent,2025.0,
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,https://www.youtube.com/@Indexsy/videos,G1LsWFM9yXU,"I Built a SaaS in 3 Days With AI (Solo, $700 in 24H)",https://www.youtube.com/watch?v=G1LsWFM9yXU,channel_recent,705.0,
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,https://www.youtube.com/@Indexsy/videos,aJql4on012o,"If You're on Upwork, You're Cooked",https://www.youtube.com/watch?v=aJql4on012o,channel_recent,2955.0,
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,https://www.youtube.com/@Indexsy/videos,b6N10-xYGys,The 'Boomer Industry' Play Converting at 3X (Nobody's Doing This),https://www.youtube.com/watch?v=b6N10-xYGys,channel_recent,2037.0,
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Writesonic,,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era",https://www.youtube.com/watch?v=du26Ywa-CtA,youtube_appearance,,
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Ross Simmonds,,axTH6nKDUY4,"Ross Simmonds keynote demo reel: Content, SEO and AI",https://www.youtube.com/watch?v=axTH6nKDUY4,youtube_appearance,,
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Clearscope,,ZvZxuoLQr9U,Content Growth Framework by Ross Simmonds of Foundation Marketing,https://www.youtube.com/watch?v=ZvZxuoLQr9U,youtube_appearance,,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era",https://www.youtube.com/watch?v=du26Ywa-CtA,youtube_appearance,,
