expert,profile_url,post_count_for_expert,post_rank,author_name,author_public_identifier,posted_at,posted_ago,post_url,feed_url,likes,comments,shares,content_chars,post_format,has_image,is_repost,content_signal,post_id,content,author_info
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,1,Jason Bay,jasondbay,2026-06-25,1d,https://www.linkedin.com/posts/jasondbay_first-outbound-squad-off-site-in-the-books-activity-7475895650052726784-9frh,https://www.linkedin.com/feed/update/urn:li:share:7475695644259688448,70,30,3,1871,image,True,False,cold email; cold calling; pipeline/building demand,7475895650052726784,"First Outbound Squad off-site in the books! I couldn't be more excited about what we're growing with these world-class humans Amanda Long Clara Johnson Aaron Milner 📈 This crew...holy sh*t. Each of them are top reps, world-class leaders, and deliver amazing results for our clients. But most importantly, they're amazing people. Leadership is a privilege. And I feel privileged to be their leader. Here's our vision for Outbound Squad: 1) Build THE methodology for outbound PipeGen. Sellers have MEDDICC, Sandler, or Challenger. But outbound happens on accident with little structure or guidance besides a script and an email sequence. We've built the first and only outbound methodology, and we want to continue making a huge impact with sales orgs like Shopify, Zoom, Rippling, Gong, and more. Every seller. Every org. Every enablement teams needs an outbound pipegen methodology that delivers results. 2) Build the best outbound thought leadership in the game. Outbound is due for a great book. Not just on cold calling. Or how to be more motivated to outbound. A tactical guide for the organization to scale outbound pipegen. The tactics, the system, reinforcement, everything. A book is on the docket for next year. We want to conduct a formal study on how the best sales orgs on the planet build pipeline. Think Challenger, but for outbound pipegen. 3) Build a family. We're curated a group of badasses who are highly talented, give a sh*t, who want to be PUSHED to make a big impact...all while experiencing more work-life balance than any other role they’ve been in (we do 4-day workweeks). We want to give world-class sales & enablement leaders a career that helps them escape the grind. I decided last year that it's no longer the Jason Bay show at Outbound Squad. We're done playing small. We're building a team. And we're ready to make a big impact in H2. LFG","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,2,Jason Bay,jasondbay,2026-06-24,2d,https://www.linkedin.com/posts/jasondbay_adam-block-is-the-former-cro-at-motive-a-activity-7475563454456586240-zf48,https://www.linkedin.com/feed/update/urn:li:share:7475474272522522624,102,13,1,2195,text,False,False,leadership/career; discovery/qualification,7475563454456586240,"Adam Block is the former CRO at Motive, a sales org with 3,000+ reps. Here's how they successfully moved up-market to grow their enterprise segment... We recorded this right before Adam announced his departure from Motive. Three things he said hit hard. And they contradict the instinct of most sales leaders I talk to. ✅ 1. Cut book sizes. Always. Adam: ""I don't recall a time that I've ever reduced book sizes and didn't see productivity go up."" The instinct as a rep, and as a sales leader looking at TAM, is more accounts equals more opportunity. The opposite is true at enterprise. Sometimes it makes sense for a strategic AE to have 1-3 accounts. With entire teams supporting them. If your enterprise AEs are still carrying 50+ accounts, try cutting their books by a quarter to a half. Watch what happens. As a rep, disqualify a big chunk of your accounts. ✅ 2. Kill the three-pod model. Motive used to run new logo, expansion sales, and CSM as three separate roles. The classic pod. They collapsed it. Why: too many cooks, no single owner with a net number...etc. The fix. One account manager owns the customer forever (or one new-logo AE keeps the account on the largest deals). They become the quarterback. They pull in product, support, finance, or supply chain when needed. But there's one name on the account. Result: better retention AND more expansion revenue. Customers stopped getting passed around. If you're running the three-pod model and your expansion number isn't there, this might be your fix. ✅ 3. The 90-second test. Adam was a part of every new hire class. His ask before any rep touched a single account: Explain who Motive is, what we do, how we do it better, the impact, and where we've done it. In 90 to 120 seconds. To your parent. To a neighbor. To anyone. If a new SDR or AE can't do that, they can't have a real conversation with a buyer. Period. ~~~ If you're org is moving up-market, or struggling to do so, you'll love this episode. We talked about: 1) Adam's journey from VP of Sales to CRO at Motive 2) How Motive moved from down-market to enterprise in 3 years 3) Proven tactics for moving up-market Watch the full interview here: https://lnkd.in/gRBCbpFw","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,3,Jason Bay,jasondbay,2026-06-23,3d,https://www.linkedin.com/posts/jasondbay_we-recently-helped-300-aes-at-iheartmedia-activity-7475201033279819796-JPN4,https://www.linkedin.com/feed/update/urn:li:ugcPost:7475073661440270336,58,14,3,2600,text,False,False,cold email; LinkedIn/social selling; sales training,7475201033279819796,"We recently helped 300+ AEs at iHeartMedia increase self-sourced meetings by 40%+ And they were not starting at zero. H2 pipeline is alarmingly thin for many sales orgs right now. And you might be getting a lot of resistance from AEs on doing outbound: ""This is marketing's job."" ""This is our BDR's job."" ""I don't have time for PG, I'm working deals."" But let's face it: the whole ""let's cut AI agents loose to find us leads"" hasn't been working for most sales orgs. Blame it on the org. Blame it on the tool. I don't care. The need for AEs to self-source pipeline isn't going away. Self-sourcing is an ATTITUDE. It either exists in your sales culture or it doesn't. Here's what we're seeing working right now: ✅ 1) Train the AI Signing your team up for Claude accounts isn't good enough. You need examples of great outbound and process loaded into your LLM as skills. You have to train the AI for it to work well. And you need a ton of examples of what good looks like. ✅ 2) Up-skill the AEs as much as you do the BDRs Train on what's working in 2026. Spend time on the phones, email, LinkedIn, etc. AEs need role-playing practice, weekly coaching, etc. ✅ 3) Enable front-line leaders Too often, I see groups of front-line managers who don't know how to outbound. How could you possibly expect an AE to prioritize PG when you don't know how to teach it? Enable front-line leaders on how to incorporate PG into 1on1s, how to develop/coach reps, and how to outbound themselves. ✅ 4) Rub shoulders. Front-line managers get in the pit with their AEs every week. Make calls together into tier-1 accounts and their toughest-to-reach prospects. ✅ 5) Arm AEs with the right tools Too often, I see a sales org with BDRs using a sales engagement platform, but the AEs have to do outbound manually with zero tooling. Give AEs the same access to sales engagement tools as you do for your SDRs & BDRs. You have ZERO accountability if you can’t measure outbound activity. We love Orum 🥇's* dialing solution. ✅ 6) Top-down involvement CRO and VP of Sales should participate in outbound efforts by giving public shout-outs in Slack for reps landing meetings through outbound. They should celebrate effort, share stories, and get the team pumped up. ✅ 7) Data Get best-in-class email and phone data. We love TitanX* for that. You can’t expect AEs to make dials without access to solid email addresses & mobile numbers. ~~~ Creating a PG culture with AEs doesn't happen overnight. But hitting your number in 2026/27 won't be possible without it. Start now. What would you add to this list? *Our partners, not sponsors","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,4,Jason Bay,jasondbay,2026-06-22,4d,https://www.linkedin.com/posts/jasondbay_i-send-10000-cold-emails-a-day-but-i-activity-7474838615852883968-xPGk,https://www.linkedin.com/feed/update/urn:li:share:7474751050726547456,65,24,3,1071,image,True,False,cold email; cold calling; discovery/qualification,7474838615852883968,"""I send 10,000+ cold emails a day, but I have to say: NOBODY should cold call."" I could not believe my eyes. Had to comment on this post. 🍀Ian Hill's response really hit me...""Have we already come full circle that we're just spray and praying again?"" He nailed it. At the end of the day, all this ""fully automate outbound with this Claude workflow"" nonsense is exactly that. It's a re-packaged version of spraying and praying. It's incrementally ""better"" than dropping the same message into a sequencer and sending it. But not by much. - It's still noise - If you're sending thousands per day, the quality isn't great - It p*sses off our buyers It's the equivalent of littering in the park and not giving a f*ck about how it impacts other people. I'm 100% bullish on the phones and in-person right now because it's the least crowded way to get attention. Execs get maybe a dozen cold calls per day if they're bigwigs. No one's reaching out to meet them in person. Nobody's stopping by their office. Please don't fall for this nonsense. Pick up the phone and get after it.","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,5,Jason Bay,jasondbay,2026-06-19,1w,https://www.linkedin.com/posts/jasondbay_luke-abbott-is-one-of-the-best-sales-execs-activity-7473751461827616768-Pt3_,https://www.linkedin.com/feed/update/urn:li:share:7473396767900712960,19,12,0,733,text,False,False,general sales/content,7473751461827616768,"Luke Abbott is one of the best sales execs I know, and he's hiring Account Executives right now. We worked together during his time at Medallia. His reps and front-line leaders had nothing but great things to say about him. We've known each other for a few years now, but I got to meet him for the first time in person last week in Austin. Don't get him going on famous cults and bank robberies of all time 😂 But for real, he's a great leader and someone you're going to learn a lot from. Now he's leading the Americas team at Sonar. They have a MASSIVE install base. So this role is primarily going ""outbound"" expand existing customer accounts via up/cross sell. They have a dozen open roles in the US here: https://lnkd.in/gpqywhJK","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,6,Jason Bay,jasondbay,2026-06-18,1w,https://www.linkedin.com/posts/jasondbay_if-i-was-a-bdr-or-ae-trying-to-break-into-activity-7473389073361973248-cyNd,https://www.linkedin.com/feed/update/urn:li:ugcPost:7473335750713819136,38,13,3,2724,text,False,False,cold email; referrals; sales training,7473389073361973248,"If I was a BDR or AE trying to break into my dream account, here's exactly what I'd do: I'd come up with an offer that made the buyer feel IRRESPONSIBLE for not taking the meeting with me. And I'd do this with a killer offer. This is the outbound datapoint everyone should be building their 2026/27 strategy around. Offers increase email reply rates by up to 28% (Gong) Offers are NOT: • A free demo • A gift card • A “meet and greet” They're tangible gives. Like a cart audit let's say if you sell an ecommerce solution. Dig through the checkout process and analyze: • Missed upsell opportunities • Broken processes • Lack of cart abandon follow up etc Here's how you can use offers to increase the effectiveness of your cold outreach: ✅ Offer #1 - Pitch The Blind Date Position who the buyer will be meeting with. I'd hype up the AE, sales engineer, or myself depending on my industry experience. Example: A client of ours sells an automated welding solution Example email CTA: ""Our welding solutions engineer, Paul, is working with Hitch manufacturers like CURT to help overcome the welder shortage and produce consistent, high-quality welds. Interested in a quick intro?"" ✅ Offer #2 - 1:Many Offers High-quality, reusable insights that feel tailored. Competitive benchmarks, industry research, or best practice guides. Example: We have a client that sells to a clinical ops solution. They surveyed dozens of clients in key areas around clinical trials. Example email CTA: ""We ran a benchmarking analysis with a few of your peers like Ultromics and MEDRhythms to find avg. study start times, drop-out rates, insights on how they shorten build times. Interested in seeing how you stack up?"" ✅ Offer #3 - 1:1 Offers These are custom-tailored experiences or resources created specifically for the prospect. This works best at the enterprise & strategic levels. Examples: - A cyber risk analysis - A benchmarking analysis - A workshop - A personalized audit of a website checkout flow. - Visiting and experiencing the brand firsthand, then sharing insights. - Offering free data, licenses, or pilots. Example: An EdTech rep would use language like this when reaching out to school districts ""We compiled a report of how WCUS stacks up against the top schools in WA & OR. Free next week to run through the report together? Tom P.S. If nothing else, you’ll see how other PNW school districts are minimizing student inequity and achievement gaps to increase student readiness and graduation rates"" ~~~ Offers are the future of outbound. It'll help your emails, calls, and DMs cut through the noise. What are you giving the buyer, that even if they decided not to buy your solution, makes the time they spend with you worthwhile?","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,7,Jason Bay,jasondbay,2026-06-17,1w,https://www.linkedin.com/posts/jasondbay_if-i-were-looking-to-hire-my-next-all-star-activity-7473026692974792704-NdUh,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472968554267582464,53,22,5,1527,text,False,False,cold email; pipeline/building demand; AI/sales tech,7473026692974792704,"If I were looking to hire my next all-star sales rep, here's exactly what I'd focus on... We've worked with 250+ sales teams and over 10,000 reps in the last 5-6 years. Teams as large as Shopify, Zoom, Rippling, etc. And teams with 3-5 reps rolling out an outbound motion for the first time. 20,000+ reps. The best reps fit into one very specific archetype: 1. The grinder 2. The procrastinator 3. The cyborg 4. The owner A grinder never misses their activity target. They muscle their way through pipegen. They're in the top 25%, but never the top 10%. The procrastinator only builds pipeline at the beginning of every quarter...when they don't have any. They're last. The cyborg leverages every AI tool imaginable. They're a modern day version of the grinder, but they never develop a BIG book of business because their buyers don't respond to AI-written emails. And they don't like to pick up the phone. The best archetype we've seen is the OWNER. This rep acts as a CEO of their territory. They: ✅ 1) Disqualify. Ruthlessly disqualify opportunities unworthy of their energy, time, and attention. ✅ 2) Offer. Consultative and make strategic “gives” to buyers early and often to earn their time. ✅ 3) Provoke. Engage buyers with a strong point of view on their problem that compels action now. And they book 4.3x more meetings than their avg. performing peers. They know that in a world full of AI, they must be Too Good To Ignore. The owner is the archetype you should be hiring for in your next best rep. Agree or disagree?","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,8,Jason Bay,jasondbay,2026-06-16,1w,https://www.linkedin.com/posts/jasondbay_cold-outbound-is-only-one-flavor-of-pipegen-activity-7472664393638547457-vKQU,https://www.linkedin.com/feed/update/urn:li:ugcPost:7472566236917268480,46,19,2,1525,text,False,False,cold email; cold calling; referrals,7472664393638547457,"""Cold outbound"" is only ONE flavor of ""pipegen."" It's the coldest, least effective way to engage buyers. I'm not saying it doesn't work. We've built out our entire business at Outbound Squad by helping companies like Shopify, Rippling, Zoom, etc crush at it. But it's the very last thing you should do. Mitch Thomas runs enablement at Brooksource for 180+ large enterprise AEs with ZERO BDR support. They self-source all of their pipeline. Do they make cold calls? Yes. But it's not the only way their very best reps source pipeline: 1) Referrals 2) Community events & philanthropy 3) Industry associations 4) Tradeshows & conferences 5) Following champions to new businesses 6) Asking for introductions 7) In-person drop bys Phone, email, and LinkedIn are just tools. You can choose to have ice cold conversations, or you can ""warm them up"" by looking for a better path in. When we worked with Brooksource, they were already converting 22% of their outbound calls into qualified meetings. After we worked together, it was 35%+. I've never seen it higher with any other client. I'd love to take more credit for it, but a big part was calling into leads that weren't completely cold. If there's one way to virtually guarantee that you land more meetings, it's do just that. In this interview, we talked about: - How Brooksource’s 180+ AEs self-source pipeline without BDRs - Building a world-class onboarding process - How enablement builds strong partnership with sales Watch the full interview here: https://lnkd.in/eTuQxV4T","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,9,Jason Bay,jasondbay,2026-06-11,2w,https://www.linkedin.com/posts/jasondbay_250-sales-teams-10000-reps-heres-the-activity-7470853434464989184-mCNH,https://www.linkedin.com/feed/update/urn:li:share:7470853432799698946,41,17,3,2244,text,False,False,cold calling; pipeline/building demand,7470853434464989184,"250+ sales teams. 10,000+ reps. Here’s the best cold call opener… 👇 We’ve studied hundreds of thousands of cold calls across 250+ sales teams in the last 6 years. And there’s one thing we can tell you for sure: The best reps all use different openers. That’s right. There’s no one opener. Or handful of openers that work the best. BUT…here’s what every great opener that led to a meeting had in common. The opener has three parts: ✅ Part 1) A greeting “Hi [first name], it’s [your first name…” They answer the first question every prospect has: who are you? ✅ Part 2) The three Ts Here’s where it starts to get interesting. Each of the openers leverages one of what we call the “three Ts”: Trigger: Make it timely by finding signals/triggers Tension: Make it relevant by sharing a problem Trust: Make it credible by leveraging social proof Sometimes they include all three. But every time, they include at least one. “Hi [first name], it’s [your first name…saw you’re hiring welders…” That’s an example of leveraging a trigger. ✅ Part 3) Permission Gong data from 300k+ cold calls supports the same. Permission-based openers outperform any other opener by nearly 5x. “Hi [first name], it’s [your first name…saw you’re hiring welders…have a minute for me to share why I called you specifically?” A simple permission-based question. ~~~ Now here’s what it looks like when you start to get creative: Greeting + Tension + Permission: “Hi Dave, was calling about the welder shortage everyone’s dealing with right now. Got a minute for me to share more?” Greeting + Trigger + Tension + Trust + Permission: “Hi Kate, noticed you’re hiring MIG welders, not sure if you’re running into challenges automating some of those low volume welds folks like Caterpillar have had. Got a min? Promise to be brief.” Greeting + Trust + Permission: “Hi Tom, we work with several trailer hitch manufacturers like XYZ. It’s Jason with ABC COMPANY. Heard our name tossed around?” (h/t to Armand Farrokh) ~~~ The best cold call openers are the ones you create. Trigger, tension, trust is just the ingredients. You make your own recipe. Want more? I was just featured in HubSpot’s most recent The Science of Scaling newsletter. Check it out here: https://lnkd.in/gFHWKk6p","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
Jason Bay,https://www.linkedin.com/in/jasondbay/,15,10,Jason Bay,jasondbay,2026-06-11,2w,https://www.linkedin.com/posts/jasondbay_cults-ai-in-sales-and-bank-robberies-what-activity-7470834115928342528-ZYJb,https://www.linkedin.com/feed/update/urn:li:share:7470834114355609600,98,24,0,1020,image,True,False,cold calling; AI/sales tech,7470834115928342528,"Cults, AI in sales, and bank robberies. What didn’t we talk about last night with this group? 😂 For real, some great folks here you should consider following. ✅ John Eitel is CRO at Orum 🥇 Met him recently and this dude gets it. He’s been building sales teams for over two decades. We have some big things coming from this partnership. ✅ Angela Frackowiak. Leads the BDR team at Armis. We met when we trained their org. One of the most empathetic and caring leaders I know. ✅ Alex Kremer. CEO at Alluviance. If you want to be more intentional and find more meaning in your work, he’s the guy to talk to. Super talented sales leader from Outreach and Catalyst. ✅ Alex Murphy. Founding AE at 30 Minutes To President’s Club. He’s building a killer personal brand and is one of the funniest people I know. We had a great podcast interview on mindset and of course cold calling. ✅ Luke Abbott. VP of Sales at Sonar. Met when worked on a big project with Medallia several years ago. Everyone who works with this guy loves him.","Turn strangers into customers | Outbound Coach, Trainer, and SKO Speaker for B2B sales teams"
