expert,video_id,status,transcript_chars,transcript_file
Josh Braun,_gnog7udq7A,ok,2139,research/youtube-transcripts/josh-braun/2-_gnog7udq7A-What do you sell How to Respond.txt.txt
Josh Braun,hpXev0vUcvQ,ok,1985,research/youtube-transcripts/josh-braun/1-hpXev0vUcvQ-How to Make a Cold Call.txt.txt
Josh Braun,jmkjpDaic2o,ok,1316,research/youtube-transcripts/josh-braun/3-jmkjpDaic2o-How to Be Relaxed & Chill Cold Calling.txt.txt
Josh Braun,jjvwoJm874g,ok,1576,research/youtube-transcripts/josh-braun/4-jjvwoJm874g-Why You Can't Trust Salespeople.txt.txt
Josh Braun,HdWL8Pwdins,ok,2090,research/youtube-transcripts/josh-braun/6-HdWL8Pwdins-Selling Without Being Pushy.txt.txt
Josh Braun,NkndOJiRjCY,ok,1405,research/youtube-transcripts/josh-braun/5-NkndOJiRjCY-One Thing That Will Immediately Make You Better at Sales.txt.txt
Josh Braun,8H-cVQFxw78,ok,4679,research/youtube-transcripts/josh-braun/7-8H-cVQFxw78-How to Handle Rude People on Cold Calls.txt.txt
Becc Holland,y6CO23qfRDM,ok,39140,research/youtube-transcripts/becc-holland/2-y6CO23qfRDM-How to Sell Without Selling The Sidekick Life with Franchise Sidekick & Becc Holland.txt.txt
Becc Holland,Qa-3XhyNOIM,ok,84233,research/youtube-transcripts/becc-holland/3-Qa-3XhyNOIM-The 2026 Cold (Outreach) Olympics The Always Be Closing Ceremonies.txt.txt
Becc Holland,irW-kNbHfzQ,ok,76860,research/youtube-transcripts/becc-holland/4-irW-kNbHfzQ-The 2026 Cold (Outreach) Olympics Day 16.txt.txt
Becc Holland,jzyS1KJKUbo,ok,42709,research/youtube-transcripts/becc-holland/1-jzyS1KJKUbo-How to Turn Cold Emails into High-Impact Conversations The Emblazers Show ft. Becc Holland.txt.txt
Becc Holland,rec-TQu12_U,ok,51019,research/youtube-transcripts/becc-holland/6-rec-TQu12_U-The 2026 Cold (Outreach) Olympics Day 14.txt.txt
Becc Holland,qufa3xRf_mk,ok,50822,research/youtube-transcripts/becc-holland/5-qufa3xRf_mk-The 2026 Cold (Outreach) Olympics Day 15.txt.txt
Thibaut Souyris,ywsIfW3qrFQ,ok,2388,research/youtube-transcripts/thibaut-souyris/1-ywsIfW3qrFQ-How to find 10 new prospects to contact every day.txt.txt
Becc Holland,wwmk5fWxFSc,ok,91343,research/youtube-transcripts/becc-holland/7-wwmk5fWxFSc-The 2026 Cold (Outreach) Olympics Day 13.txt.txt
Thibaut Souyris,8SEMmTePuVE,ok,16530,"research/youtube-transcripts/thibaut-souyris/2-8SEMmTePuVE-How to build and execute the Ultimate Prospecting Sequence, with Thibaut Souyris and Alan Ruchtein..txt.txt"
Thibaut Souyris,tNZygbZ1E6M,ok,4569,research/youtube-transcripts/thibaut-souyris/6-tNZygbZ1E6M-Your LinkedIn Profile is your Landing Page​.txt.txt
Thibaut Souyris,_hMaCMbfFqA,ok,26708,research/youtube-transcripts/thibaut-souyris/3-_hMaCMbfFqA-5 human mistakes salespeople keep making (and what to do about them).txt.txt
Thibaut Souyris,t7OgqGycXew,ok,5995,"research/youtube-transcripts/thibaut-souyris/7-t7OgqGycXew-Building a personal brand is overrated, here's why.txt.txt"
Thibaut Souyris,W66EK8ouMLM,ok,28824,research/youtube-transcripts/thibaut-souyris/4-W66EK8ouMLM-Using LinkedIn for warm outreach by Thibaut Souyris.txt.txt
Thibaut Souyris,whWSIbr-xcE,ok,5983,research/youtube-transcripts/thibaut-souyris/5-whWSIbr-xcE-Don't pitch in your outreach​.txt.txt
