expert,video_count_for_expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,transcript_file
Josh Braun,7,1,Josh Braun,hpXev0vUcvQ,How to Make a Cold Call,https://www.youtube.com/watch?v=hpXev0vUcvQ,112.0,,,
Josh Braun,7,2,Josh Braun,_gnog7udq7A,"""What do you sell?"" How to Respond",https://www.youtube.com/watch?v=_gnog7udq7A,122.0,,,
Josh Braun,7,3,Josh Braun,jmkjpDaic2o,How to Be Relaxed & Chill Cold Calling,https://www.youtube.com/watch?v=jmkjpDaic2o,76.0,,,
Josh Braun,7,4,Josh Braun,jjvwoJm874g,Why You Can't Trust Salespeople,https://www.youtube.com/watch?v=jjvwoJm874g,97.0,,,
Josh Braun,7,5,Josh Braun,NkndOJiRjCY,One Thing That Will Immediately Make You Better at Sales,https://www.youtube.com/watch?v=NkndOJiRjCY,84.0,,,
Josh Braun,7,6,Josh Braun,HdWL8Pwdins,Selling Without Being Pushy,https://www.youtube.com/watch?v=HdWL8Pwdins,135.0,,,
Josh Braun,7,7,Josh Braun,8H-cVQFxw78,How to Handle Rude People on Cold Calls,https://www.youtube.com/watch?v=8H-cVQFxw78,334.0,,,
Becc Holland,7,1,Flip the Script,jzyS1KJKUbo,How to Turn Cold Emails into High-Impact Conversations | The Emblazers Show ft. Becc Holland,https://www.youtube.com/watch?v=jzyS1KJKUbo,2346.0,,,
Becc Holland,7,2,Flip the Script,y6CO23qfRDM,How to Sell Without Selling | The Sidekick Life with Franchise Sidekick & Becc Holland,https://www.youtube.com/watch?v=y6CO23qfRDM,2024.0,,,
Becc Holland,7,3,Flip the Script,Qa-3XhyNOIM,The 2026 Cold (Outreach) Olympics: The Always Be Closing Ceremonies,https://www.youtube.com/watch?v=Qa-3XhyNOIM,5454.0,,,
Becc Holland,7,4,Flip the Script,irW-kNbHfzQ,The 2026 Cold (Outreach) Olympics: Day 16,https://www.youtube.com/watch?v=irW-kNbHfzQ,4834.0,,,
Becc Holland,7,5,Flip the Script,qufa3xRf_mk,The 2026 Cold (Outreach) Olympics: Day 15,https://www.youtube.com/watch?v=qufa3xRf_mk,3091.0,,,
Becc Holland,7,6,Flip the Script,rec-TQu12_U,The 2026 Cold (Outreach) Olympics: Day 14,https://www.youtube.com/watch?v=rec-TQu12_U,3126.0,,,
Becc Holland,7,7,Flip the Script,wwmk5fWxFSc,The 2026 Cold (Outreach) Olympics: Day 13,https://www.youtube.com/watch?v=wwmk5fWxFSc,5870.0,,,
Thibaut Souyris,7,1,SalesLabs,ywsIfW3qrFQ,How to find 10 new prospects to contact every day,https://www.youtube.com/watch?v=ywsIfW3qrFQ,167.0,,,
Thibaut Souyris,7,2,SalesLabs,8SEMmTePuVE,"How to build and execute the Ultimate Prospecting Sequence, with Thibaut Souyris and Alan Ruchtein.",https://www.youtube.com/watch?v=8SEMmTePuVE,856.0,,,
Thibaut Souyris,7,3,SalesLabs,_hMaCMbfFqA,5 human mistakes salespeople keep making (and what to do about them),https://www.youtube.com/watch?v=_hMaCMbfFqA,1541.0,,,
Thibaut Souyris,7,4,SalesLabs,W66EK8ouMLM,Using LinkedIn for warm outreach by Thibaut Souyris,https://www.youtube.com/watch?v=W66EK8ouMLM,1763.0,,,
Thibaut Souyris,7,5,SalesLabs,whWSIbr-xcE,Don't pitch in your outreach​,https://www.youtube.com/watch?v=whWSIbr-xcE,326.0,,,
Thibaut Souyris,7,6,SalesLabs,tNZygbZ1E6M,Your LinkedIn Profile is your Landing Page​,https://www.youtube.com/watch?v=tNZygbZ1E6M,242.0,,,
Thibaut Souyris,7,7,SalesLabs,t7OgqGycXew,"Building a personal brand is overrated, here's why",https://www.youtube.com/watch?v=t7OgqGycXew,322.0,,,
